CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,2Y_length,2Y_RLN,3Y_length,3Y_RLN,Over_3Y_length,Over_3Y_RLN
AD 429,AD429,31.09,2.2,32,,36.91,145.2,46,91.46,160
AD 430,,31.09,,12.1,,,,,,
AD 434,,31.09,,25.95,,,19.75,,,
AD 436,,31.09,,7.65,,,,,,
AD437,,31.09,,,,,,,,
AD 439,,31.09,,23.6,,,,,,
AD 440,,31.09,,29.8,,,,,,
AD 441,AD441,31.09,,34.2,,71.93,78.79,94.8,,
AD 442,AD442,31.09,1.9,48.4,,197,50.88,9.2,,
AD 448,AD448,31.09,,8.1,,0.29,25.5,142.6,,
AD 456,,31.09,,22.45,,,,,,
AD 458,AD458,31.09,2.6,15.95,,10.1,73,331.4,,
AD 460,,31.09,1.3,21.25,,,,,,
AD 465,AD465,31.09,,47.05,,202.48,40.27,137.8,,
AD 467,,31.09,,,,,,,,
AD 474,AD 474,31.09,1.1,40.85,42.3,0.033333333,54,8.6,,
AD 476,AD 476,31.09,1.1,9.5,103.8,22.675,132,91.4,,
AD 481,AD481,31.09,,64.95,,76.07,111.83,262.2,,
AD 493,,31.09,,11,,,,,,
AD 496,,31.09,1.5,15.85,,,,,,
AD 499,,31.09,1.4,21.7,,,,,,
AD 502,,31.09,1.7,56.7,,,,,,
AD 503,,31.09,,10.1,,,,,,
AD 506,AD506,31.09,2.4,30.05,,51.28,110.5,465.6,,
AD 508,,31.09,,,,,,,,
AD 509,,31.09,,11.1,,,,,,
AD 525,AD 525,31.09,1.1,5.75,65.6,0.016666667,111.8,2.4,,
AD 527,,31.09,1.4,,,,,,,
AD 528,AD 528,31.09,,5.75,59.8,13.93333333,80,14,,
AD 529,,31.09,,,,,,,,
AD 530,,31.09,,47.75,,,,,,
AD 531,AD 531,31.09,,16.4,65.5,6.9375,107,207.1,,
AD 533,,31.09,1.2,15.3,,,,,,
AD 534,AD534,31.09,2.6,34.9,,28.79,101.83,110.7,,
AD 536,,31.09,,2.75,,,,,,
AD 555,AD555,31.09,,6.8,,68.4,105,18.5,,
AD 557,,31.09,,,,,,,,
AD 558,AD558,31.09,1.1,16.4,,39.95,103.7,210.5,67.83,128.5
AD 559,AD559,31.09,1.9,56.35,,15.19,85.58,454.8,,
AD 562,AD562,31.09,2.1,8.5,,148.37,47,599.7,,
AD 564,AD564,31.09,2.7,65.3,,41.38,119,79.2,,
AD 565,AD 565,31.09,2.2,,135.8,10.275,192.3,79.4,,
AD 570,AD 570,31.09,1.5,,66.3,38.85,107.7,61.5,,
AD 573,,31.09,,12,,,,,,
AD 575,,31.09,,,,,,,,
AD 578,,31.09,,23.15,,,,,,
AD 581,,31.09,,15.3,,,,,,
AD 582,,31.09,1,,,,,,,
AD 587,AD 587,31.09,,1.5,70.3,32.8,100,373.5,,
AD 590,,31.09,,,,,,,,
AD 594,AD 594,31.09,,,52.8,1.6,77.5,74.2,,
AD 596,,31.09,,10.2,,,,,,
AD 600,,31.09,,36.65,,,,,,
AD 602,,31.09,,79.15,,,,,,
AD 605,AD605,31.09,,7.95,,59.7,149.4,234,46.88,131.5
AD 607,AD607,31.09,,37.1,,15.84,84.1,74.4,,
AD 611,,31.09,,,,,,,,
AD 617,,31.09,,,,,,,,
AD 619,,31.09,,15.3,,,,,,
AD 624,AD 624,31.09,2.25,15.3,132.2,4.075,175.8,47.7,,
AD 626,,31.09,,28.15,,,,,,
AD 631,AD 631,31.09,2.4,23.35,106.6,5.1375,163.7,97.7,,
AD 638,AD638,31.09,2.4,71.05,,90.68,132,297.9,,
AD 641,AD641,31.09,2,26.45,,59.57,48.5,39.6,,
AD 645,AD 645,31.09,,16.1,62.2,15.1375,102.9,17.4,,
AD 653,AD653,31.09,1.6,24,,50.96,112.33,27.7,,
AD 654,AD654,31.09,2.4,23.5,,74.35,180.8,45.1,122.79,287.7
AD 655,,31.09,,11,,,,,,
AD 656,,31.09,,,,,,,,
AD 671,,31.09,,15.5,,,,,,
AD 677,AD 677,31.09,,35.85,132.5,0.0375,181.5,12.3,,
AD 705,AD705,31.09,3.3,10.95,,63.1,97.81,366.3,,
AD 708,AD708,31.09,2.6,46.5,,24.94,74.88,109.9,,
AD 709,AD 709,31.09,2.3,60.65,73.6,32.6125,122.8,85.2,,
AD 714,AD714,31.09,2.6,66.45,,58.46,166,60.5,117.58,421.6
AD 717,AD717,31.09,3.35,22.6,,86.64,185.3,19.7,81.83,92.7
AD 726,AD 726,31.09,,14.2,79.8,0,126.4,4,,
AD 745,,31.09,,6.4,,,,,,
AD 749,AD 749,31.09,2.4,35.55,95.1,47.175,138,160.2,,
AD 751,AD751,31.09,2.25,52.5,,76.97,103,92.3,,
AD 757,AD757,31.09,,,,54.24,18.5,,,
AD 762,AD762,31.09,,18.9,,48.34,76.92,160,,
AD 764,AD764,31.09,2.2,17.4,,43.71,129.92,574.3,,
AD 765,,31.09,,,,,,,,
AD 767,,31.09,,18.85,,,,,,
AD 771,,31.09,2.3,56.525,,,,,,
AD 773,AD 773,31.09,1.9,33.1,117.8,61.1,152.2,55.7,,
AD 783,AD783,31.09,2.8,4.4,,62.9,150.8,21,84.75,35
AD784,AD784,31.09,,,,31.43,106.25,264.1,,
AD 785,AD785,31.09,2.5,52.05,,28.85,73.21,321.1,,
AD 786,AD 786,31.09,,17.15,66,51.675,111.6,46.8,,
AD 789,AD789,31.09,1.8,63.65,,31.6,115.54,112.4,,
AD 791,,31.09,2.4,72.05,,,,,,
AD 802,,31.09,,16.5,,,,,,
AD 821,AD821,31.09,2.1,46.5,,24.98,72.25,159.1,,
AD 871,AD 871,31.09,,19.65,63.6,0.45,87,3,,
AD 569,AD569,31.09,1.8,27,,33,73.17,130.3,,
EA 1,EA1,31.09,,17.9,,217.57,49.31,388.2,,
EA 2,EA2,31.09,,18.5375,,92.64,25.5,259.9,,
EA 4,,31.09,,,,,,,,
EA 21,EA21,31.09,2.1,,,60.96,52.13,69.2,,
EA 12,,31.09,2.7,23.275,,,,,,
EA 16,EA16,31.09,,14.7,,30.88,49.75,107.7,,
EA 19,EA19,31.09,,39.35,,92.7,86.2,9.1,22.54,82.3
EA 24,,31.09,,19.45,,,,,,
EA 32,EA32,31.09,,28.6,,92.65,78.96,234.1,,
EA 43,EA43,31.09,1.9,59.6,,29.44,73.17,301.7,,138
EA 46,EA46,31.09,1.3,,,10.84,47.58,80.5,,
EA 47,EA47,31.09,,,,26.28,47.98,108.5,,
EA 49,EA49,31.09,1.89,30.8125,,35.16,88.33,80.1,,
MS1-1,,31.01,2.6,31.8125,9,24.4,,,,
MS1-3,MS1 3,31.01,3,52.4,133.67,52.8,171.6,22.5,,
MS1-4,,31.01,,,,,,,,
MS1-7,MS1 7 ,31.01,3.2,45.975,107,43,133.75,60,,
MS1-8,MS1 8 ,31.01,2.8,38.525,86,59.4,112.81,55.6,,447.7
MS1-12,MS1 12,31.01,3.25,54.399925,66,105.4,64.69,14,,
MS1-14,,31.01,1.55,,,,,,,
MS1-15,,31.01,2.25,,,,,,,
MS1-18,,31.01,,,,,,,,
MS1-19,MS1 19,31.01,2.5,26.401975,124.67,121.4,132.56,55.2,,
MS1-21,MS1 21,31.01,3.7,31,104.33,193.7,136.44,47.6,,
MS1-24,,31.01,1,22.8,,,,,,
MS1-26,,31.01,1.8,45.95,,,,,,
MS1-27,MS1 27,31.01,2.9075,45.325,128.67,91.7,138.25,48.2,,
MS1-28,MS1 28,31.01,2.4,20.1,122,36.2,88.42,485.7,139.19,62.7
MS1-29,,31.01,,24.55,,,,,,
MS1-31,MS1 31,31.01,2.27166666666667,30.858325,89,71.1,127.75,235.8,,
MS1-32,MS1 32,31.01,2.6,37.95,48,5.7,66,82.4,,
MS1-33,MS1 33,31.01,2.18333333333333,23.15,110.33,25.7,137.29,122.2,,
MS1-36,MS1 36,31.01,1.5,15.97925,24.33,1.29,37.5,34.1,,
MS1-38,,31.01,1.8,,,,,,,
MS1-39,MS1 39,31.01,,,30.5,0.5,,,,
MS1-41,MS1 41,31.01,2.13333333333333,35.026275,117.5,247.8,139.56,63.9,,
MS1-43,MS1 43,31.01,1,,67.5,0.5,65.5,75.7,,
MS1-44,MS1 44,31.01,2.05,57.975,118.33,22.1,139.25,60.1,,
MS1-45,,31.01,,56.33325,,,,,,
MS1-48,MS1 48,31.01,3.55,35.5,126.67,141,158.25,73.9,,
MS1-49,MS1 49,31.01,1.4,19.6,75.33,66.9,77.69,112.8,,
MS1-50,MS1 50,31.01,2,,93.33,22.9,100.75,84.7,,
MS1-51,MS1 51,31.01,2.47166666666667,30.125,120,17.5,148.75,86.3,,
MS1-52,MS1 52,31.01,,,52,,,,,
MS1-53,,31.01,,,,,,,,
MS1-55,MS1 55,31.01,1.46666666666667,23.55,42,55.1,32.13,173.6,35.75,24.6
MS1-56,MS1 56,31.01,1.075,19.5,44.33,16.4,44.94,13,,
MS1-62,MS1 62,31.01,2.8,29.716575,153.33,14.2,190,125.9,,
MS1-63,MS1 63,31.01,1.3,,43.5,31.5,64,13.4,,
MS1-65,MS1 65,31.01,2.4,55.95,116.33,34.5,146.63,41.8,,
MS1-68,,31.01,1,53.3,,,,,,
MS1-69,,31.01,,,,,,,,
MS1-71,MS1 71,31.01,3.7,47.2,132.67,64.4,178.71,58.4,,
MS1-72,MS1 72,31.01,3.65,30.95,113.67,5.2,135.2,15.9,,
MS1-73,MS1 73,31.01,1.36666666666667,39.8,31.33,44.8,48.25,176.2,34.71,13
MS1-77,,31.01,,11.65,,,,,,
MS1-84,MS1 84,31.01,1,51.625,39.67,3.8,30.25,31.7,,
MS1-86,MS1 86,31.01,3.6,56.475,139.33,27.1,163.57,44.8,,
MS1-87,MS1 87,31.01,3.55,42.025,117.33,43.2,131.33,63.3,,
MS1-89,MS1 89,31.01,3.4,,127.5,41,178.5,137.3,,
MS1-90,MS1 90,31.01,3.9,46.35,106.33,53.7,109.81,17.4,,
MS1-93,MS1 93,31.01,1,10.416675,31.67,9.7,22.56,10.7,,
MS1-94,MS1 94,31.01,3.35,43.56875,129.33,131.3,175.38,27.6,,
MS1-95,MS1 95,31.01,3.1,29.075,125.67,148.6,70.54,172,166.17,8.3
MS1-96,MS1 96,31.01,2.8,33.85,113.33,29.2,137.9,84.7,,
MS1-97,MS1 97,31.01,3.4,39.85,107.33,115.5,138.5,77.7,,
MS1-98,MS1 98,31.01,,,,,167,2.3,,
MS1-99,MS1 99,31.01,2.346,26.725,128.33,17.5,183.86,63.3,,
MS1-102,MS1 102,31.01,2,23.6,64,30.8,,,,
MS1-103,MS1 103,31.01,2.9,36.01105,100.5,10.4,151.57,56.1,,
MS1-105,MS1 105,31.01,1.7,,49,156.8,54,114.1,,
MS1-106,MS1 106,31.01,1,22.8,77.33,60.1,88.5,20.4,,1480
MS1-107,,31.01,,,,,,,,
MS1-113,MS1 113,31.01,,,31.67,4.5,42,45.7,,
MS1-114,MS1 114,31.01,,,,,78.3,3.6,,
MS1-117,MS1 117,31.01,3,,157,65,208,73.2,,
MS1-119,MS1 119,31.01,3.8,42.775,56.33,5,52.2,15.4,,
MS1-120,MS1 120,31.01,,,26.8,0,,,,
MS1-122,MS1 122,31.01,3.3,39.7,149.33,3.7,173,68.9,100.56,26.7
MS1-125,MS1 125,31.01,2.95,47.05,161,55.6,192.13,32.6,,
MS1-126,,31.01,1,,,,,,,
MS1-127,MS1 127,31.01,1.23333333333333,25.55,92.67,255,119.13,27.2,93.44,19.5
MS1-128,MS1 128,31.01,2.13333333333333,41.4375,108,47.8,169.88,44.9,,
MS1-129,,31.01,1,40.35,,,,,,
MS1-130,MS1 130,31.01,3.35,36.7,138,27.2,187.5,68.5,,238.6
MS1-132,MS1 132,31.01,3.4,47.35,100.33,97.1,134.6,56,91.25,457.4
MS1-133,,31.01,,,,,,,,
MS1-138,MS1 138,31.01,3.6,41.05,67.4,0.8,120.38,53.3,,29.83
TB3,TB 3,31.09,2,44.25,79.8,45.6,,28.8,177.8,241.3
TB4,TB 4,31.09,3.5,45.357025,87.7,10.4,,,,
TB5,TB 5,31.09,1.03333333333333,5.1,12.3,,,,,
TB6,,31.09,,,,,29,,,
TB7,TB 7,31.09,3.6,35.116675,85.1,12.3,,,,
TB8,TB 8,31.09,3.8,29.05,87.7,31,,,,
TB10,,31.09,,22.25,,,,,,
TB11,,31.09,3.1,45.60715,,,,,,
TB12,TB 12,31.09,3.6,33.8333,96.1,0.1,,,,
TB13,TB 13,31.09,1.7,52.7,89.4,4.5,,,,
TB16,TB 16,31.09,,20,11.3,,,,,
TB18,TB 18,31.09,1.03333333333333,16.15,64.2,32.2,,,,
TB19,TB 19,31.09,3.1,27.225,,74.21,119.92,112.8,160.63,116.5
TB21,,31.09,3.5,14.65,,,109.88,301,,43.4
TB22,TB 22,31.09,4,,85.5,14.5,,1021.2,,
TB23,,31.09,,4.6,,,,,,
TB24,,31.09,1,,,,,,,
TB26,TB 26,31.09,3.9,46.3,106.2,0.7,,,,
TB28,TB 28,31.09,3.2,20.05,80.8,0.2,,,,
TB31,,31.09,,5.55,,,,,,
TB32,,31.09,,10.5,,,,,,
TB33,TB 33,31.09,1.35,3.2,13.2,3.4,,,,
TB34,TB 34,31.09,3.7,21.124925,94.7,3.6,,,,
TB35,TB 35,31.09,2.9,5.6,,78.96,68.31,65.9,124.29,92.1
TB36,TB 36,31.09,3.4,40.05,68.3,2.4,,551.3,,
TB37,TB 37,31.09,3.3,18.160625,68.6,16.2,120.9,84.1,,
TB38,,31.09,2.7,22.05,,,,,,
TB39,TB 39,31.09,3,28.25,25.4,29.9,,,,
TB40,TB 40,31.09,2.8,37.96895,86.5,35.4,,,,
TB42,,31.09,2.1,37.4,,,,,,
TB44,TB 44,31.09,3.6,27.972125,90.3,2.6,,,,
TB45,TB 45,31.09,,7.95,71.2,2.6,,,,
TB46,TB 46,31.09,1.75666666666667,7.75,40.2,0.8,,747.4,,
TB47,TB 47,31.09,3.5,13.75,25.1,0,,764.4,,
TB48,TB 48,31.09,3.4,38.928525,63.3,32,,361.3,,
TB49,TB 49,31.09,3.2,,82.5,0.1,100.83,33,,38.5
TB50,TB 50,31.09,3.9,19.35,91.4,4.3,,,,
TB51,,31.09,,,,,,,,
TB52,,31.09,1,,,,50.5,80.1,,10.75
TB57,,31.09,1,3.75,,,,,,
TB58,,31.09,,,,,,,,
TB59,,31.09,,13.75,,,,,,
TB60,,31.09,,14.45,,,,,,
TB61,TB 61,31.09,2.65,33.3215,94.6,1.4,,,,
TB62,TB 62,31.09,3.8,24.25,73.3,0.5,,,,
TB63,TB 63,31.09,1,,6,,,,,
TB65,TB 65,31.09,2.8,17.275,65.7,155.5,,,,
TB66,TB 66,31.09,3.7,4.7,87.6,19.7,,,,
TB67,TB 67,31.09,,,81.5,9,72.3,55.1,,
TB68,TB 68,31.09,3,48.5625,66,5.5,,,,
TB69,TB 69,31.09,2.93333333333333,38.388775,41.5,0,,266.3,110.75,201.8
TB70,TB 70,31.09,3.5,,25.7,,,,,
TB71,TB 71,31.09,1.05,,6.3,3.3,,,,
TB73,TB 73,31.09,3.9,24.25005,59.3,1.6,,,,
TB75,,31.09,,63.5,,,,,,
TB76,TB 76,31.09,1,19.375,35.9,1,,,,
TB78,TB 78,31.09,3.4,19.05,68.3,2,,,,
TB79,TB 79,31.09,1.5,24,9,,,,,
TB80,,31.09,,6.85,,,,,,
TB82,,31.09,2,17.6,,,,,,
TB83,TB 83,31.09,3.8,19.7,52.3,60.7,,,,
TB86,TB 86,31.09,2.8,6.85,94.7,1.1,,,,
TB87,TB 87,31.09,4,30.696375,87.3,0.9,,195.8,,
TB88,TB 88,31.09,1.46666666666667,4.85,26,10.5,,,,
TB90,TB 90,31.09,2.0425,29.82075,35.5,17.2,123.38,333.7,,137.88
TB91,TB 91,31.09,3.5,6.5,71.4,1.1,,,,
TB92,TB 92,31.09,3,19.527825,64.7,7.8,,249.1,,
TB94,,31.09,,,,,,,,
TB95,TB 95,31.09,3.9,,71.9,4.9,,,,
TB96,TB 96,31.09,,31.2,7.3,,,,,
TB97,TB 97,31.09,3.3,22.125,55.6,5.1,,,,
TB100,TB 100,31.09,3.4,23.45,59.6,5.6,,,,
TB101,,31.09,,,,,,,,
TB102,TB 102,31.09,2.1,40.75,40.3,6.5,,,,
TB104,,31.09,,34.9,,,,,,
TB105,TB 105,31.09,1.1,38.6,19.7,32.8,,,,
TB108,TB108,31.09,1,38.3,,141.43,60.81,26.9,,
TB109,TB 109,31.09,4,59.5,84.2,52.1,,112.1,,
TB111,TB 11,31.09,,21.75,85.7,5.5,,,,
TB112,,31.09,1.88333333333333,19.25,,,,,,
TB115,,31.09,,18,,,,,,
TB120,TB120,31.09,1,7.2,,21.85,40.38,5.3,,
