CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,2Y_length,2Y_RLN,3Y_length,3Y_RLN,Over_3Y_length,Over_3Y_RLN
AC 182,AC 182,31.01,2.65,10.75,148.2,2.8875,194,42.4,,
AC 184,AC 184,31.01,2.1,35,120.4,0.35,160.2,7.1,,
AC 185,,31.01,2,30.5,,,,,,
AC 186,,31.01,2.6,60.4,,,,,,
AC 188,AC188,31.01,,63,,16.93,58.75,231.1,,
AC 189,AC 189,31.01,2.9,19.65,144.9,8.1,188.3,66.4,,
AC 190,AC 190,31.01,3.6,49.75,129.7,12.5375,163.3,53.4,,
AC 199,AC 199,31.01,,,27,1.725,27,0.4,,
AC 200,,31.01,,,,,,,,
AC 201,AC 201,31.01,,,67.7,0,93.5,26.2,,
AC 206,AC 206,31.01,2.25,31.9,98.3,1.3125,149,50.6,,
AC 207,,31.01,,,,,,,,
AC 209,AC 209,31.01,,,33.5,0.025,60,15.5,,
AC 211,,31.01,1.6,29.8,,,,,,
AC 212,AC 212F,31.01,,,21.8,8.375,26.8,9.8,,
AC 215,,31.01,,,,,,,,
AC 216,,31.01,,,,,,,,
AC 217,AC217,31.01,2.6,64.9,,37.07,93.92,221.6,,
AC 219,,31.01,1.7,,,,,,,
AC 220,AC 220,31.01,,18.4,52.9,2.8125,83.9,21.1,,
AC 221,AC221,31.01,3.4,78.05,,38.61,113.21,274.4,,
AC 222,AC 222,31.01,2,24.75,86.3,1.625,149.1,163.3,,
AC 225,AC 225,31.01,2.2,27.7,130,20.225,167.3,35.9,,
AC 226,AC 226,31.01,1.665,,47,0.05,69.4,52.5,,
AC 228,AC 228,31.01,,,75.5,0.166666667,98,9.5,,
AC 232,AC 232,31.01,,8.75,55.9,24.875,108.5,74.1,,
AC 234,AC234,31.01,2.8,74.575,,49.35,128.25,77.5,,
AC 235,,31.01,,,,,,,,
AC 236,AC 236,31.01,,,50,0,53,2.1,,
AC 239,AC 239,31.01,,,24.4,0,26.7,8.3,,
AC 240,,31.01,,,,,,,,
AC 241,AC241,31.01,,,,137.55,114.5,100.2,,
AC 242,AC 242,31.01,1.95,25.25,141.8,21.85,191.2,45.2,,
AC 246,AC246,31.01,,,,21.24,25.92,379.6,,
AC 255,AC255,31.01,2.9,76.95,,33.83,122.67,184,,
AC 257,AC 257,31.01,2.45,36.45,123,4.4125,161.3,95.3,,
AC 258,AC 258,31.01,2.35,22.75,118.1,2.3875,163.8,46,,
AC 261,AC 261,31.01,1.2,29,75.5,7.775,110.5,121.5,,
AC 262,AC262,31.01,3.2,66.15,,39.1,132.17,300.6,,
AC 267,AC 267,31.01,3.1,62.4,130.5,4.816666667,190,43.3,,
AC 268,AC 268,31.01,1.9,25.15,127.2,13.9125,168.5,60.8,,
AC 270,AC 270,31.01,,37.5,54.5,0.85,70.3,104.2,,
AC 271,AC271,31.01,,29.55,,35.77,18.88,542.4,,
AC 272,AC272,31.01,2.3,58.9,,35.3,96.88,243.5,,
AC 273,AC 273,31.01,2.05,24.65,154,39.2625,202.7,104.2,,
AC 276,AC276,31.01,1,19.85,,18.98,68.58,231.3,,
AC 277,AC277,31.01,2.5,37.3,,36.83,47.58,127.8,,
AC 278,AC 278,31.01,2,17.4,53.3,0.325,64.2,44.8,,
AC 279,,31.01,1,39.65,,,,,,
AC 280,AC 280,31.01,2.95,32.4,139.8,14.625,185.5,119.4,,
AC 281,,31.01,1.9,40.45,,,,,,
AC 282,AC 282,31.01,,17.05,74.5,21.03333333,113.7,212.8,,
AC 283,,31.01,,21.65,,,,,,
AC 284,AC284,31.01,2.1,47.35,,24.63,84.25,414.8,,
AC 285,AC288,31.01,,,,26.7,,,,
AC 286,,31.01,1.56666666666667,14.05,,,,,,
AC 287,,31.01,1.3,21.05,,,,,,
AC 288,,31.01,2.1,38.4,,,74.79,112.1,,
AC 289,,31.01,1,,,,,,,
AC 292,AC 292,31.01,1,25.5,56.8,37.2,62.5,55.5,,
AC 293,,31.01,3,55.7,,,132.17,13.1,,
AC 294,,31.01,2.3,44.25,,,,,,
AC 296,,31.01,,,,,133.71,279,,
AC 298,,31.01,2,,,,,,,
AC 301,AC301,31.01,2.9,43.1,,35.29,95.69,19.1,,
AC 303,,31.01,,,,,,,,
AC 305,,31.01,,,,,,,,
AC 308,AC 308,31.01,3,,67.6,35.4875,96.9,35.8,,
AC 310,AC 310,31.01,1.4,17.85,70.6,21.95,109.7,91.8,,
AC 312,AC312,31.01,2.7,22.1,,49.25,50.38,11.1,,
AC 314,AC 314,31.01,2.8,,125,44.1125,168.3,137.2,,
AC 315,AC 315,31.01,2.85,12.5,147.2,10.75,193.3,50.1,,
AC 317,,31.01,,,,,,,,
AC 318,AC 318,31.01,2.45,35.7,134.3,91.9375,177.7,54.9,,
AC 322,AC 322,31.01,,19.75,56.3,30.25,95,23.4,,
AC 323,AC 323,31.01,2.375,17.35,121.2,10.875,175.2,100.6,,
AC 324,AC 324,31.01,2,36.7,59.1,10.8,64.3,24.6,,
AC 325,,31.01,,,,,,,,
AC 332,,31.01,,,,,,,,
AC 334,AC 334,31.01,,18.7,49.8,0,92,2.6,,
AC 335,AC 338,31.01,,48.5,132.3,20.9,,,,
AC 337,,31.01,2.9,40.4,,,,,,
AC 338,,31.01,2.4,36.55,,,166.3,53.9,,
AC 340,,31.01,,,,,,,,
AC 342,AC 342,31.01,,,56.2,0,89.7,12.3,,
AC 343,AC343,31.01,,23.05,,84.1,41.65,69.9,,
AC 346,AC 346,31.01,2.5,30.5,140,150.4625,183.5,155.5,,
AC 347,AC 347,31.01,1.8,21.65,75,0.025,103,6.5,,
AC 348,AC 348,31.01,,,48,0.15,70.5,93.4,,
AC 349,AC 349,31.01,,21.75,54.3,0.7875,83.2,96.7,,
AC 350,AC 350,31.01,3.1,19,88.3,15.7625,139.5,37.1,,
AC 351,AC 351,31.01,,,72.5,0,79,3.5,,
AC 352,AC352,31.01,,38.8,,29.98,39.2,104.8,55.21,232.6
AC 353,AC353,31.01,,30.45,,34,80.65,169.7,,
AC 354,AC 354,31.01,1.9,11,153,2.5625,205.2,26.7,,
AC 356,AC 356,31.01,3.4,37.85,151.4,3,214.3,30.6,,
AC 358,,31.01,,,,,,,,
AC 359,,31.01,,,,,,,,
AC 363,AC 363,31.01,3.3,26.15,107.9,4.65,109.8,47.9,,
AC 364,AC 364,31.01,2,,133.5,0,170,4.6,,
AC 365,,31.01,,,,,156.5,54.8,,
AC 366,AC 366,31.01,1.35,22.75,100.9,1.6875,,,,
AC 367,AC 367,31.01,2.1,27.25,117.3,12.3125,163.7,211.7,,
AC 369,,31.01,,12.65,,,,,,
AC 370,AC 370,31.01,2.6,24.45,38.5,0,12.5,,,
AC 371,AC 371,31.01,,,41.8,2.325,28,1,,
AC 375,AC 375,31.01,,,68.3,0,109.5,2.2,,
AC 379,AC 379,31.01,2.4,,106.2,2.3625,178.7,8.2,,
AC 380,AC 380,31.01,,4.75,70.6,0,90.6,3,,
AC 383,,31.01,,,,,,,,
AC 384,AC 384,31.01,2.8,,59,0,64.2,19.6,,
AC 385,AC385,31.01,3.1,56.7,,119.03,137.25,78.4,,
AC 386,AC386,31.01,1,,,46.19,44.25,63.5,,
AC 394,AC 394,31.01,1.55,24.4,121.8,0.575,168.5,31.2,,
AC 402,AC402,31.01,3.4,61.4,,39.44,61.42,65.3,,
AC 407,AC407,31.01,2.8,66.3,,39.41,105.25,234.9,,
AC 408,,31.01,,,,,,,,
AC 411,AC 411,31.01,2.85,85.35,119.8,8.3625,154.8,65.2,,
AC 422,,31.01,1,,,,,,,
AC 426,,31.01,2.9,28,,,,,,
AC 428,AC 428,31.01,2.4,25,115.8,10.55,153.7,160.5,,
AC 429,AC429,31.01,2.6,64.65,,77.48,101.42,176.2,,
AC 431,AC431,31.01,2.3,33.25,,37.06,72.25,59.7,,
AC 432,,31.01,2.35,43,,,,,,
AC 434,AC 434,31.01,3.5,76.25,113.6,4.2625,154,69.8,,
AC 436,AC 436,31.01,,,70.7,0.4375,95.4,13.1,,
AC 437,AC 437,31.01,,,122.3,16.8625,150.7,180.7,,
AC 438,AC438,31.01,2.95,68.3,,21.64,68.38,57.4,,
AC 439,,31.01,,,,,,,,
AC 442,AC 442,31.01,,51.35,129.4,6.0375,168.8,162.6,,
AC 443,AC443,31.01,2.8,58.4,,89.48,116.75,83.5,,
AC 446,AC446,31.01,3.6,86.9,,11.68,134,169.6,,
AC 447,,31.01,,,,,,,,
AC 448,AC448,31.01,2.4,70.4,,21.63,161.3,178.9,122.58,468.1
AC 449,,31.01,3.8,33,,,,,,
AC 452,AC452,31.01,1.86666666666667,65.7,,71.48,110,127.8,,
AC 453,AC 453,31.01,3,65,137.8,2.2125,181.7,36.8,,
AC 454,AC 454,31.01,2.2,30.5,130.3,45.3875,170.8,76.3,,
AC 457,AC 457,31.01,,26.9,70.1,2.225,120,27.9,,
AC 458,AC458,31.01,,80.05,,10.9,106.42,75.8,,
AC 466,AC466,31.01,3.4,14.25,,178.55,25.71,196.7,,
AC 468,AC468,31.01,1.8,23.6,,5.38,53,15.9,,
AC 469,AC 469,31.01,3,13.8,105.7,49.9625,140.4,141.6,,
AC 470,,31.01,,28.95,,,,,,
AC 471,AC 471,31.01,,,47,0.15,70.8,28.7,,
AC 472,AC472,31.01,1.5,8,,19.05,187.3,132.8,117.5,613.6
AC 473,AC 473,31.01,2.3,,122.5,5.3,168.3,36.5,,
AC 475,AC 475,31.01,1.95,,129.1,0.166666667,177.8,94,,
AC 476,,31.01,,,,,,,,
AC 480,AC 480,31.01,1,22.4,26,1.866666667,32.2,9.7,,
AC 481,,31.01,,,,,,,,
AC 482,AC482,31.01,2.8,77.4,,32.94,116,175,,
AC483,AC483,31.01,,,,8.52,82.25,13.6,,
AC 486,AC 486,31.01,2.1,,123,27.4375,167.8,235.3,,
AC 487,AC487,31.01,2.1,62.5,,89.64,84.67,261.1,,
AC 490,,31.01,,14.75,,,,,,
AC 491,,31.01,,,,,,,,
AC 492,AC 492,31.01,3.6,29.85,115.7,22.7875,155.5,38.9,,
AC 494,AC494,31.01,2.5,61.25,,90.56,116.67,254.1,,
AC 495,AC495,31.01,2.4,17.8,,51.6,182.7,92.7,101.33,103.8
AC 497,AC 497,31.01,,28.75,66.7,4.75,85,136.2,,
AC 498,AC 498,31.01,,20.75,74.3,0.316666667,92.5,29.5,,
AC 504,AC504,31.01,2.5,22.5,,40.03,82.63,455.4,,
AC 506,AC506,31.01,1.2,51.3,,53.63,44.42,40.7,,
AC 507,AC507,31.01,3.5,53.75,,131.31,125.25,289.3,,
AC 508,AC 508,31.01,3.4,9.5,100.8,13.75,142,96.3,,
AC 510,AC 510,31.01,,29.25,66,31.53333333,91.3,70.7,,
AC 511,,31.01,,,,,,,,
AC 512,,31.01,,26.05,,,,,,
AC 515,AC515,31.01,3.4,45.3,,44,59,143.9,,
AC 516,,31.01,1.75,14.55,,,,,,
AC 520,,31.01,,,,,,,,
AC 532,,31.01,,,,,,,,
AC 533,AC533,31.01,3,,,46.34,133.75,546,,
AC 535,AC 535,31.01,,,58.8,0.025,81.3,118.8,,
AC 540,,31.01,,,,,,,,
AC 547,AC 547,31.01,,33.95,62.2,0.325,89.3,2.5,,
AC 552,AC552,31.01,1.7,38.7,,24.28,57.25,19.1,,
AC 554,AC 554,31.01,,,74.2,4.85,116.2,53,,
AC 556,AC 556,31.01,,22.95,36.5,10.56,44,,,
AC 557,AC 557,31.01,2.55,,59.8,15.8625,81.8,50.8,,
AC 558,,31.01,2.65,,,,,,,
AC 559,AC 559,31.01,,24.7,122.9,2.3,164.7,42.4,,
AC 560,,31.01,,,,,,,,
AC 563,,31.01,,,,,,,,
AC 564,AC564,31.01,2.8,46.8,,27.58,110.88,424.5,,
AC 567,AC 567,31.01,,21.05,47.8,5.6,68,47.3,,
AC 568,AC568,31.01,1,24.925,,66.35,28.38,154.8,,
AC 569,,31.01,,,,,,,,
AC 570,AC570,31.01,2.4,69.4,,60.14,120.67,239.4,,
AC 571,,31.01,1.95,43.45,,,,,,
AC 574,AC 574,31.01,,4.75,75.1,3.9375,91.9,42.3,,
AC 577,AC 577,31.01,,26.75,64.8,0.5,84,49.5,,
AC 580,AC580,31.01,2.4,58.25,,152.7,119.54,519.6,,
AC 583,AC583,31.01,3.4,68.1,,43.41,121.71,538.9,,
AC 585,AC 585,31.01,3.3,32.55,118,0,175,0.1,,
AD 1,,31.09,,18.25,,,,,,
AD 17,AD 17,31.09,,38.1,106.6,62.775,147.5,131.9,,
AD 18,AD 18,31.09,,11.275,56.8,0,97.2,4.4,,
AD 19,AD19,31.09,1.98666666666667,59.5,,103.53,103.5,158.4,,
AD 20,AD 20,31.09,,31.55,48.8,5.083333333,45.8,9.7,,
AD 22,,31.09,,,,,,,,
AD 24,AD24,31.09,2.8,9.13333333333333,,14.38,49.69,294,,
AD 28,AD28,31.09,2.1,31.7,,14.3,88.63,268.9,,
AD 30,AD30,31.09,1.7,22.25,,46.6,38.25,20.5,,
AD 37,AD37,31.09,1.2,12.65,,43.34,87.75,121.4,,
AD 38,,31.09,,,,,,,,
AD 40,AD40,31.09,1.55,13,,12.39,137,84.2,71.83,24.9
AD 41,AD 41,31.09,,,68.5,3.166666667,87,30.6,,
AD 51,AD51,31.09,2.2,27.65,,94.42,97.21,462.7,,
AD 55,AD55,31.09,2.15,25.2,,26.06,105.79,316.1,,
AD 56,AD56,31.09,,11.4,,20.15,88.38,78.5,,
AD 57,AD57,31.09,,57.55,,51.97,66,92.8,,
AD 66,,31.09,,,,,,,,
AD 67,,31.09,1.4,10.4,,,,,,
AD 71,AD71,31.09,3.2,54.85,,76.28,80.44,112.5,,
AD 79,AD79,31.09,3.2,,,24.21,180.6,39,84.19,415
AD 80,AD80,31.09,1.8,35.9,,19.81,109.33,310.3,,
AD 83,,31.09,,,,,,,,
AD 86,AD 86,31.09,,,23.3,0.45,33.1,11.2,,
AD 87,AD87,31.09,2.2,30.6,,16.55,92.75,46.6,,
AD 90 ,AD90,31.09,2.3,45.95,,126.25,82.75,58.7,,
AD 91,AD91,31.09,1.54666666666667,16.4,,15.05,47.25,46.7,,
AD 95,AD95,31.09,1.8,37.15,,66.48,85.42,47.7,,
AD 96,AD96,31.09,4,51.3,,75.46,129.67,826.6,,
AD 97,AD 97,31.09,1.25,,56.3,0.5,84.7,109.6,,
AD 100,AD 100,31.09,,,86.8,0.1125,96.3,205.7,,
AD 101,AD101,31.09,2,,,25.95,90.63,132,,
AD 103,,31.09,,,,,,,,
AD 111,AD 111,31.09,1.6,35.7,118.4,13.925,169.2,80.1,,
AD 114,AD114,31.09,2.3,35.9,,71.39,119.92,354.1,,
AD 115,AD115,31.09,,17.65,,92.79,64.46,22.8,,
AD 116,AD116,31.09,2.6,27.65,,34.08,97.88,172.2,,
AD 117,AD117,31.09,,13.6666666666667,,81.94,95,218.4,,
AD 118,,31.09,,14.7,,,,,,
AD 119,,31.09,,4.8,,,,,,
AD 121,,31.09,2.5,17.3,,,,,,
AD 122,,31.09,2.8,,,,,,,
AD 123,AD123,31.09,1.15,9.7,,42.9,74.5,16,,
AD 125,AD125,31.09,3.2,29.175,,77.47,83.92,484.9,,
AD 131,,31.09,,58.6,,,,,,
AD 136,AD136,31.09,2.9,20.2666666666667,,45.91,111.67,279.9,,
AD 138,AD138,31.09,1.7,15.6,,38.11,172.8,197.7,128.92,55.5
AD 139,,31.09,,30.75,,,,,,
AD 145,AD 145,31.09,3.1,,106.7,1.7,154.7,141.4,,
AD 156,,31.09,1.8,12,,,,,,
AD 162,AD162,31.09,1.4,27.9,,56.34,92.04,185.8,,
AD 163,AD163,31.09,2,20.4,,53.08,121.17,6.3,,
AD 165,AD165,31.09,,13.8,,57.1,86.25,318,,
AD 166,,31.09,,11.7,,,,,,
AD 167,AD167,31.09,3.1,57.05,,13.41,125.25,348.2,,
AD 169,,31.09,,38.5,,,,,,
AD 170,,31.09,2.5,15.3,,,,,,
AD 171,,31.09,,,,,,,,
AD 172,AD 172,31.09,2.5,50.95,98.8,3.516666667,149,13.7,,
AD 173,,31.09,,26.85,,,,,,
AD 180,,31.09,1.3,13.25,,,,,,
AD 182,,31.09,,10.35,,,,,,
AD 183,,31.09,,24.95,,,,,,
AD 184,AD184,31.09,1.3,20.2,,24.92,123.88,164.9,,
AD 185,AD185,31.09,2.02333333333333,44.2,,76.6,96.83,525,,
AD 187,AD 187,31.09,2.5,29.4,128.6,50.6125,187.4,128.5,,
AD 191,,31.09,3.15,43.15,,,,,,
AD 192,AD192,31.09,4,17,,51.84,105.67,221.9,,
AD 193,AD193,31.09,2.3,31.6666666666667,,78.98,75.08,141.9,,
AD 196,AD 196,31.09,1.7,10.95,86.9,6.0875,133.8,70.3,,
AD 198,AD198,31.09,2.4,15.9,,19.3,20.25,177.6,,
AD 215,,31.09,,14.2,,,,,,
AD 217,AD217,31.09,2,66.4,,39.55,90.21,25.6,,
AD 224,AD224,31.09,,6.15,,3.89,,7.2,,
AD 233,AD233,31.09,2.9,15.95,,139.94,72.75,404.3,,
AD 243,,31.09,,42.5,,,,,,
AD 244,AD244,31.09,1,,,76.65,78.83,48.8,,
AD 246,AD246,31.09,2.3,28.75,,28.28,115.29,203.7,,
AD 247,AD247,31.09,2.5,42.3,,33.26,121,180,,
AD 251,AD251,31.09,1.9,75.1,,131.44,107.33,310.2,,
AD 253,AD253,31.09,1,34.95,,38.56,64.42,184.2,,
AD 254,,31.09,,,,,,,,
AD 255,AD255,31.09,2.9,62.6,,30.48,116.42,328.3,,
AD 258,AD258,31.09,1.2,6.2,,101.72,39.38,24.5,,
AD 259,AD259,31.09,1.8,15.3,,75.83,109.17,171.9,,
AD 261,AD261,31.09,,,,112.44,20.31,103.7,,
AD 263,,31.09,,5.1,,,,,,
AD 264,AD264,31.09,2.9,42.5,,106.16,95.5,244.8,,
AD 265,AD265,31.09,1.9,7.9,,34.91,103.25,208.8,,
AD 266,,31.09,,38.9,,,,,,
AD 271,AD271,31.09,,,,112.28,82.58,73.4,,
AD 272,AD 272,31.09,1,,67.3,1.05,101.2,3.5,,
AD 273,AD273,31.09,1.7,51.4,,34.91,132.54,313.8,,
AD 274,,31.09,,,,,,,,
AD 275,AD 275,31.09,,,40,0.025,71,0,,
AD 276,AD276,31.09,1.4,18.8,,16.65,20.38,220.5,,
AD 277,AD277,31.09,,20.6,,14.86,130.33,201.6,,
AD 279,AD 279,31.09,,,36.1,0,55.2,9.2,,
AD 282,AD282,31.09,1,9.26666666666667,,57.1,154.2,112.5,43.13,167.7
AD 283,,31.09,,12.35,,,,,,
AD 285,AD285,31.09,2.3,9,,25.49,68.63,193,,
AD 286,AD286,31.09,,32.4,,18.2,127.38,19.3,,
AD 287,,31.09,1.4,22.9,,,,,,
AD 288,AD288,31.09,2.3,40,,72.28,107.04,332.8,,
AD 289,AD289,31.09,2.95,46.7,,23.13,111.75,266.2,,
AD 290,,31.09,,14.25,,,,,,
AD 291,,31.09,,,,,,,,
AD 292,,31.09,,,,,,,,
AD 293,,31.09,,8.66666666666667,,,,,,
AD 294,,31.09,1,5.75,,,,,,
AD 296,AD 296,31.09,2.33,34.5,130.3,13.6125,175.3,21.5,,
AD 297,AD297,31.09,2.2,6.5,,28.36,41.79,13.8,,
AD 299,AD299,31.09,1.825,38.3,,49.96,116.17,430.4,,
