CAL_Wip_ID,CG_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,
Solano,
Sunland,
Tulare,
Vina,
AC 585,3.3
AD 1,
AD 17,
AD 18,
AD 19,1.98666666666667
AD 20,
AD 22,
AD 24,2.8
AD 28,2.1
AD 30,1.7
AD 37,1.2
AD 38,
AD 40,1.55
AD 41,
AD 51,2.2
AD 55,2.15
AD 56,
AD 57,
AD 66,
AD 67,1.4
AD 71,3.2
AD 79,3.2
AD 80,1.8
AD 83,
AD 86,
AD 87,2.2
AD 90 ,2.3
AD 91,1.54666666666667
AD 95,1.8
AD 96,4
AD 97,1.25
AD 100,
AD 101,2
AD 103,
AD 111,1.6
AD 114,2.3
AD 115,
AD 116,2.6
AD 117,
AD 118,
AD 119,
AD 121,2.5
AD 122,2.8
AD 123,1.15
AD 125,3.2
AD 131,
AD 136,2.9
AD 138,1.7
AD 139,
AD 145,3.1
AD 156,1.8
AD 162,1.4
AD 163,2
AD 165,
AD 166,
AD 167,3.1
AD 169,
AD 170,2.5
AD 171,
AD 172,2.5
AD 173,
AD 180,1.3
AD 182,
AD 183,
AD 184,1.3
AD 185,2.02333333333333
AD 187,2.5
AD 191,3.15
AD 192,4
AD 193,2.3
AD 196,1.7
AD 198,2.4
AD 215,
AD 217,2
AD 224,
AD 233,2.9
AD 243,
AD 244,1
AD 246,2.3
AD 247,2.5
AD 251,1.9
AD 253,1
AD 254,
AD 255,2.9
AD 258,1.2
AD 259,1.8
AD 261,
AD 263,
AD 264,2.9
AD 265,1.9
AD 266,
AD 271,
AD 272,1
AD 273,1.7
AD 274,
AD 275,
AD 276,1.4
AD 277,
AD 279,
AD 282,1
AD 283,
AD 285,2.3
AD 286,
AD 287,1.4
AD 288,2.3
AD 289,2.95
AD 290,
AD 291,
AD 292,
AD 293,
AD 294,1
AD 296,2.33
AD 297,2.2
AD 299,1.825
AD 300,
AD 301,
AD 302,
AD 303,3.1
AD 304,1.7
AD 307,2.6
AD 309,
AD 312,3.6
AD 317,1
AD 325,1.7
AD 333,
AD 345,
AD 349,2.9
AD 357,
AD 360,
AD 361,2
AD 389,
AD 392,2.3
AD 393,1.6
AD 395,2.1
AD 396,
AD 400,2.6
AD 401,
AD 407,2.7
AD 409,
AD 412,2.5
AD 414,
AD 415,3.2
AD 416,1
AD 418,
AD 423,
AD 427,1.7
AD 428,2.3
AD 429,2.2
AD 430,
AD 434,
AD 436,
AD437,
AD 439,
AD 440,
AD 441,
AD 442,1.9
AD 448,
AD 456,
AD 458,2.6
AD 460,1.3
AD 465,
AD 467,
AD 474,1.1
AD 476,1.1
AD 481,
AD 493,
AD 496,1.5
AD 499,1.4
AD 502,1.7
AD 503,
AD 506,2.4
AD 508,
AD 509,
AD 525,1.1
AD 527,1.4
AD 528,
AD 529,
AD 530,
AD 531,
AD 533,1.2
AD 534,2.6
AD 536,
AD 555,
AD 557,
AD 558,1.1
AD 559,1.9
AD 562,2.1
AD 564,2.7
AD 565,2.2
AD 570,1.5
AD 573,
AD 575,
AD 578,
AD 581,
AD 582,1
AD 587,
AD 590,
AD 594,
AD 596,
AD 600,
AD 602,
AD 605,
AD 607,
AD 611,
AD 617,
AD 619,
AD 624,2.25
AD 626,
AD 631,2.4
AD 638,2.4
AD 641,2
AD 645,
AD 653,1.6
AD 654,2.4
AD 655,
AD 656,
AD 671,
AD 677,
AD 705,3.3
AD 708,2.6
AD 709,2.3
AD 714,2.6
AD 717,3.35
AD 726,
AD 745,
AD 749,2.4
AD 751,2.25
AD 757,
AD 762,
AD 764,2.2
AD 765,
AD 767,
AD 771,2.3
AD 773,1.9
AD 783,2.8
AD784,
AD 785,2.5
AD 786,
AD 789,1.8
AD 791,2.4
AD 802,
AD 821,2.1
AD 871,
AD 569,1.8
AW 1,
AW 2,
AW 3,
AW 4,
AW 5,
AW 6,
AW 7,
AW 8,
AW 9,
AW 10,
AW 11,
AW 12,
AW 13,
AW 14,
AW 15,
