CAL_Wip_ID,PHY_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,64.105
Solano,
Sunland,
Tulare,
Vina,
AC 552,38.7
AC 554,
AC 556,22.95
AC 557,
AC 558,
AC 559,24.7
AC 560,
AC 563,
AC 564,46.8
AC 567,21.05
AC 568,24.925
AC 569,
AC 570,69.4
AC 571,43.45
AC 574,4.75
AC 577,26.75
AC 580,58.25
AC 583,68.1
AC 585,32.55
AD 1,18.25
AD 17,38.1
AD 18,11.275
AD 19,59.5
AD 20,31.55
AD 22,
AD 24,9.13333333333333
AD 28,31.7
AD 30,22.25
AD 37,12.65
AD 38,
AD 40,13
AD 41,
AD 51,27.65
AD 55,25.2
AD 56,11.4
AD 57,57.55
AD 66,
AD 67,10.4
AD 71,54.85
AD 79,
AD 80,35.9
AD 83,
AD 86,
AD 87,30.6
AD 90 ,45.95
AD 91,16.4
AD 95,37.15
AD 96,51.3
AD 97,
AD 100,
AD 101,
AD 103,
AD 111,35.7
AD 114,35.9
AD 115,17.65
AD 116,27.65
AD 117,13.6666666666667
AD 118,14.7
AD 119,4.8
AD 121,17.3
AD 122,
AD 123,9.7
AD 125,29.175
AD 131,58.6
AD 136,20.2666666666667
AD 138,15.6
AD 139,30.75
AD 145,
AD 156,12
AD 162,27.9
AD 163,20.4
AD 165,13.8
AD 166,11.7
AD 167,57.05
AD 169,38.5
AD 170,15.3
AD 171,
AD 172,50.95
AD 173,26.85
AD 180,13.25
AD 182,10.35
AD 183,24.95
AD 184,20.2
AD 185,44.2
AD 187,29.4
AD 191,43.15
AD 192,17
AD 193,31.6666666666667
AD 196,10.95
AD 198,15.9
AD 215,14.2
AD 217,66.4
AD 224,6.15
AD 233,15.95
AD 243,42.5
AD 244,
AD 246,28.75
AD 247,42.3
AD 251,75.1
AD 253,34.95
AD 254,
AD 255,62.6
AD 258,6.2
AD 259,15.3
AD 261,
AD 263,5.1
AD 264,42.5
AD 265,7.9
AD 266,38.9
AD 271,
AD 272,
AD 273,51.4
AD 274,
AD 275,
AD 276,18.8
AD 277,20.6
AD 279,
AD 282,9.26666666666667
AD 283,12.35
AD 285,9
AD 286,32.4
AD 287,22.9
AD 288,40
AD 289,46.7
AD 290,14.25
AD 291,
AD 292,
AD 293,8.66666666666667
AD 294,5.75
AD 296,34.5
AD 297,6.5
AD 299,38.3
AD 300,
AD 301,
AD 302,32.8
AD 303,45.85
AD 304,
AD 307,11.7
AD 309,67.7
AD 312,15.5
AD 317,10.05
AD 325,
AD 333,3
AD 345,3.25
AD 349,6.65
AD 357,14.55
AD 360,27.7
AD 361,19.2
AD 389,
AD 392,8.3
AD 393,
AD 395,65.25
AD 396,43.7
AD 400,33.65
AD 401,32.85
AD 407,15.7
AD 409,
AD 412,51.85
AD 414,12.5
AD 415,
AD 416,
AD 418,39.8
AD 423,8.8
AD 427,11.75
AD 428,
AD 429,32
AD 430,12.1
AD 434,25.95
AD 436,7.65
AD437,
AD 439,23.6
AD 440,29.8
AD 441,34.2
AD 442,48.4
AD 448,8.1
AD 456,22.45
AD 458,15.95
AD 460,21.25
AD 465,47.05
AD 467,
AD 474,40.85
AD 476,9.5
AD 481,64.95
AD 493,11
AD 496,15.85
AD 499,21.7
AD 502,56.7
AD 503,10.1
AD 506,30.05
AD 508,
AD 509,11.1
AD 525,5.75
AD 527,
AD 528,5.75
AD 529,
AD 530,47.75
AD 531,16.4
AD 533,15.3
AD 534,34.9
AD 536,2.75
AD 555,6.8
AD 557,
AD 558,16.4
AD 559,56.35
AD 562,8.5
AD 564,65.3
AD 565,
AD 570,
AD 573,12
AD 575,
AD 578,23.15
AD 581,15.3
AD 582,
AD 587,1.5
AD 590,
AD 594,
AD 596,10.2
AD 600,36.65
AD 602,79.15
AD 605,7.95
AD 607,37.1
AD 611,
AD 617,
AD 619,15.3
AD 624,15.3
AD 626,28.15
AD 631,23.35
AD 638,71.05
AD 641,26.45
AD 645,16.1
AD 653,24
AD 654,23.5
AD 655,11
AD 656,
AD 671,15.5
AD 677,35.85
AD 705,10.95
AD 708,46.5
AD 709,60.65
AD 714,66.45
AD 717,22.6
AD 726,14.2
AD 745,6.4
AD 749,35.55
AD 751,52.5
AD 757,
AD 762,18.9
AD 764,17.4
AD 765,
AD 767,18.85
AD 771,56.525
AD 773,33.1
AD 783,4.4
AD784,
AD 785,52.05
AD 786,17.15
AD 789,63.65
AD 791,72.05
AD 802,16.5
AD 821,46.5
AD 871,19.65
AD 569,27
AW 1,
AW 2,
AW 3,
AW 4,
AW 5,
AW 6,36
AW 7,
AW 8,
AW 9,
AW 10,
AW 11,
AW 12,
AW 13,
AW 14,
AW 15,
AW 16,
AW 17,
AW 18,
AW 19,
AW 20,
AW 21,
AW 22,40
AW 23,
AW 24,
AW 25,
AW 26,
AW 27,
AW 28,
AW 29,
AW 30,
AW 31,
AW 32,
AW 33,
AW 34,
AW 35,
AW 36,
CS 1,
CS 2,
CS 7,
CS 8,19.9475
CS 11,
CS 15,
CS 16,2.5
CS 17,
CS 18,
CS 21,
CS 23,
CS 26,
CS 27,
CS 28,
CS 29,
CS 32,34.5
CS 33,
CS 34,19.011
CS 35,
CS 36,
EA 1,17.9
EA 2,18.5375
EA 4,
EA 21,
EA 12,23.275
EA 16,14.7
EA 19,39.35
EA 24,19.45
EA 32,28.6
EA 43,59.6
EA 46,
EA 47,
EA 49,30.8125
EC 2,
EC 4,
EC 5,
EA 9,31.27595
EC 10,
EC 12,
EC 18,
EC 20,
EC 30,
EC 33,
EC 35,
EC 36,
EC 42,
EC 43,
EC 44,
EC 46,
EC 49,
EC 51,49.1
EC 52,
EC 56,
GB 1037,
GB 1087,
GB 1094,
GB 1133,
GB 1230,41.07825
GB 1327,
GB 0047,
GB 0104,
GB 0110,
GB 0173,
GB 0187,
GB 0258,
GB 0380,
GB 0467,49.446
GB 0531,
GB 0651,
GB 0666,24.68
GB 0697,
GB 0832,
GB 0906,
GB 1011,37.0035
JCS 1,
JCS 2,62.8335
JCS 3,32.1965
JCS 6,
JCS 7,
JCS 1,
JMOP 2,37.59975
JMS 2,
JMS 3,26.06275
JMS 4,29.4945
JMS 5,34.4425
JMS 6,
JMS 7,39.53525
JMS 9,35.4215
JMS 10,
JMS 11,33.4735
JMS 11A,21.908
JMS 12,26.299
JMS 13,37.1945
JMS 15,31.9465
JMS 16,
JMS 18,11.4025
JMS 19,42.90875
JMS 20,26.88125
JMS 21,24.83175
JMS 23,
JMS 24,54.24275
JMS 5A,34.93825
K 2,
K 3,
K 4,
K 5,
K 7,
K 9,21.60175
K 10,
K 11,
K 12,
K 14,
K 28,32.95825
K 29,31.165
K 32,50.1085
K 35,20.24775
MS1-1,31.8125
MS1-3,52.4
MS1-4,
MS1-7,45.975
MS1-8,38.525
MS1-12,54.399925
MS1-14,
MS1-15,
MS1-18,
MS1-19,26.401975
MS1-21,31
MS1-24,22.8
MS1-26,45.95
MS1-27,45.325
MS1-28,20.1
MS1-29,24.55
MS1-31,30.858325
MS1-32,37.95
MS1-33,23.15
MS1-36,15.97925
MS1-38,
MS1-39,
MS1-41,35.026275
MS1-43,
MS1-44,57.975
MS1-45,56.33325
MS1-48,35.5
MS1-49,19.6
MS1-50,
MS1-51,30.125
MS1-52,
MS1-53,
MS1-55,23.55
MS1-56,19.5
MS1-62,29.716575
MS1-63,
MS1-65,55.95
MS1-68,53.3
MS1-69,
MS1-71,47.2
MS1-72,30.95
MS1-73,39.8
MS1-77,11.65
MS1-84,51.625
MS1-85,
MS1-86,56.475
MS1-87,42.025
MS1-89,
MS1-90,46.35
MS1-93,10.416675
MS1-94,43.56875
MS1-95,29.075
MS1-96,33.85
MS1-97,39.85
MS1-98,
MS1-99,26.725
MS1-102,23.6
MS1-103,36.01105
MS1-105,
MS1-106,22.8
MS1-107,
MS1-113,
MS1-114,
MS1-117,
MS1-119,42.775
MS1-120,
MS1-122,39.7
MS1-125,47.05
MS1-126,
MS1-127,25.55
MS1-128,41.4375
MS1-129,40.35
MS1-130,36.7
MS1-132,47.35
MS1-133,
MS1-138,41.05
RX032,35.619
S 1,
S 2,
S 8,
S 10,
S 13,
S 15,
S 16,
S 21,
S 26,
S 32,
S 35,
S 38,
S 39,
S 40,
S 41,
S 42,
S 45,
S 49,
S 54,
S 55,
S 59,
S 61,
S 64,42.421
SBB7,94.374
SC1,
SC5,97.5
SM1,56.9825
SM2,
SM4,
SM5,66.25
STJM4,31.5475
STJM6,38.55625
STJM7,11.5855
STJM11,
TB3,44.25
TB4,45.357025
TB5,5.1
TB6,
TB7,35.116675
TB8,29.05
TB10,22.25
TB11,45.60715
TB12,33.8333
TB13,52.7
TB16,20
TB18,16.15
TB19,27.225
TB21,14.65
TB22,
TB23,4.6
TB24,
TB26,46.3
TB28,20.05
TB31,5.55
TB32,10.5
TB33,3.2
TB34,21.124925
TB35,5.6
TB36,40.05
TB37,18.160625
TB38,22.05
TB39,28.25
TB40,37.96895
TB42,37.4
TB44,27.972125
TB45,7.95
TB46,7.75
TB47,13.75
TB48,38.928525
TB49,
TB50,19.35
TB51,
TB52,
TB57,3.75
TB58,
TB59,13.75
TB60,14.45
TB61,33.3215
TB62,24.25
TB63,
TB65,17.275
TB66,4.7
TB67,
TB68,48.5625
TB69,38.388775
TB70,
TB71,
TB73,24.25005
TB75,63.5
TB76,19.375
TB78,19.05
TB79,24
TB80,6.85
TB82,17.6
TB83,19.7
TB86,6.85
TB87,30.696375
TB88,4.85
TB90,29.82075
TB91,6.5
TB92,19.527825
TB94,
TB95,
TB96,31.2
TB97,22.125
TB99,32.283325
TB100,23.45
TB101,
TB102,40.75
TB104,34.9
TB105,38.6
TB108,38.3
TB109,59.5
TB111,21.75
TB112,19.25
TB115,18
TB120,7.2
TG9 ,7.68375
TG11,7.16675
TG17,5.55975
TG24,
TG29,16.73175
TG37,11.46
TG47,16.41375
TP1,
TP3,64.67
TP4,
TP7,
TQ11,
J1-1A,54
J1-19A,
J1-20A,
J1 control,53
L-33,
L-194,
L-J,
RR4-1A,
RR4-2B,
RR4-4A,
RR4-6C,
RR4-8A,
RR4-10A,
RR4-11A,
RR4-12A,
RR4-control,
RR4 DS Red 17-1-3,
RR4 DS Red 17-4-3,
RR4 DS Red 30-2-2,
RR4 DS Red 67-2-2,
RR4 DS Red 67-2-3,
BS 1,43.35
BS 4,58.95
BS 6,14.25
BS 8,34.6
BS 9,9.2
OP 9,54
OP 65,57
OP 67,35
EA 51,
,
,
