CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AC 18,AC 18,31.01,131.8,0,166,8.8,,
AC 19,AC 19,31.01,127.3,4.475,173.2,67.4,,
AC 20,AC 20,31.01,123.2,10.0125,178.5,59.1,,
AC 22,AC22,31.01,,48.49,99.46,271.5,,
AC 23,AC23,31.01,,38.07,128.04,66.1,,
AC 24,AC24,31.01,,42.97,53.98,427.4,,
AC 25,,31.01,,,,,,
AC 26,,31.01,,,,,,
AC 27,AC27,31.01,,32.65,111.79,520.6,,
AC 29,AC29,31.01,,30.86,129.33,871.9,,
AC 30,AC30,31.01,,20.33,133.71,279,,
AC 32,AC 32,31.01,53.5,20.7375,70.8,41.4,,
AC 34,,31.01,,,,,,
AC 35,AC35,31.01,,146.52,111.98,96,,
AC 37,,31.01,,,,,,
AC 38,,31.01,,,,,,
AC 43,,31.01,,,,,,
AC 45,AC 45,31.01,43.8,10.85,72.7,75,,
AC 48,,31.01,,,,,,
AC 49,AC49,31.01,,15.53,102.08,114.2,,
AC 52,AC52,31.01,,68.76,131.5,117,,
AC 53,AC 53,31.01,112,2.816,161.6,43.5,,
AC 54,AC54,31.01,,56.56,47.88,91.2,,
AC 55,AC 55,31.01,20,5.0625,,,,
AC 56,AC 56,31.01,30.3,0.7,18.7,,,
AC 57,AC57,31.01,,63.89,113.63,379.2,,
AC 61,AC 61,31.01,66.7,0.075,102.4,4.9,,
AC 63,AC63,31.01,,155.95,48.13,61.5,,
AC 64,,31.01,,,,,,
AC 65,AC 65,31.01,30,1.1,29.5,,,
AC 67,,31.01,,,,,,
AC 68,AC 68,31.01,98.7,1.9375,134.7,20,,
AC 72,AC 72,31.01,35.3,0,40.8,35,,
AC 73,AC 73,31.01,52.5,7.55,77.3,42.5,,
AC 74,,31.01,,,,,,
AC 75,AC 75,31.01,32.7,0.066666667,46.5,10.2,,
AC 76,AC76,31.01,,27.45,110.13,265.3,,
AC 79,AC79,31.01,,76.25,134.17,98,,
AC 80,AC 80,31.01,128.8,8.0375,168,19.9,,
AC 81,AC 81,31.01,124.2,26.175,160.7,196,,
AC 82,AC 82,31.01,103.3,0.8625,150,138.5,,
AC 83,AC83,31.01,,35.38,101.25,244.1,,
AC 84,AC 84,31.01,44.1,0,70.4,51.3,,
AC 87,,31.01,,,,,,
AC 98,AC 98,31.01,140.9,3.5125,200.7,351.9,,
AC 103,AC103,31.01,,13.96,131,254.2,,
AC 109,AC109,31.01,,92.82,86.13,182.9,,
AC 111,AC 111,31.01,62.4,14.7125,,,,
AC 112,AC112,31.01,,83.75,116,184.9,,
AC 113,AC 113,31.01,144.2,2.1125,,,,
AC 116,AC 116,31.01,73.9,3.55,,,,
AC 119,AC 119,31.01,43.4,27.95,,,,
AC 120,AC120,31.01,,320.82,30.13,149.7,,
AC 121,AC 121,31.01,129.5,3.8375,,,,
AC 122,,31.01,,,,,,
AC 123,AC123,31.01,,55,60.75,231.1,,
AC 125,AC 125,31.01,32,0,,,,
AC 126,,31.01,,,,,,
AC 128,,31.01,,,,,,
AC 129,AC 129,31.01,137.7,0.25,,,,
AC 130,AC 130,31.01,121.6,7.3875,,,,
AC 133,AC 133,31.01,81.1,0,,,,
AC 134,AC 134,31.01,126.4,36.825,167.5,39,,
AC 135,AC 135,31.01,124,0.0125,168.7,79,,
AC 138,,31.01,,,,,,
AC 139,,31.01,,,,,,
AC 141,AC 141,31.01,107.2,16.75,156.3,135.3,,
AC 142,AC142,31.01,,58.58,53.25,162.5,,
AC 145,AC 145,31.01,129.1,1.4875,167.8,29.6,,
AC 146,AC 146,31.01,42.8,4.125,56,71.2,,
AC 148,AC148,31.01,,178.83,107.42,116,,
AC 151,,31.01,,,,,,
AC 153,AC153,31.01,,46.89,66.33,214.5,,
AC 154,,31.01,,,,,,
AC 155,AC 155,31.01,144.4,19.175,184.2,228.8,,
AC 157,AC 157,31.01,131.1,35.325,164.6,87.3,,
AC 160,AC 160,31.01,89.4,20.55,118.4,48.8,,
AC 163,AC 163,31.01,129.4,4.925,179.2,114.6,,
AC 164,AC 164,31.01,122.8,129.9375,162.8,44.9,,
AC 166,AC 166,31.01,50.4,0.4375,88.7,86.3,,
AC 168,,31.01,,,,,,
AC 175,AC 175,31.01,126.7,0,179.2,78.4,,
