CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AD 243,,31.09,,,,,,
AD 244,AD244,31.09,,76.65,78.83,48.8,,
AD 246,AD246,31.09,,28.28,115.29,203.7,,
AD 247,AD247,31.09,,33.26,121,180,,
AD 251,AD251,31.09,,131.44,107.33,310.2,,
AD 253,AD253,31.09,,38.56,64.42,184.2,,
AD 254,,31.09,,,,,,
AD 255,AD255,31.09,,30.48,116.42,328.3,,
AD 258,AD258,31.09,,101.72,39.38,24.5,,
AD 259,AD259,31.09,,75.83,109.17,171.9,,
AD 261,AD261,31.09,,112.44,20.31,103.7,,
AD 263,,31.09,,,,,,
AD 264,AD264,31.09,,106.16,95.5,244.8,,
AD 265,AD265,31.09,,34.91,103.25,208.8,,
AD 266,,31.09,,,,,,
AD 271,AD271,31.09,,112.28,82.58,73.4,,
AD 272,AD 272,31.09,67.3,1.05,101.2,3.5,,
AD 273,AD273,31.09,,34.91,132.54,313.8,,
AD 274,,31.09,,,,,,
AD 275,AD 275,31.09,40,0.025,71,0,,
AD 276,AD276,31.09,,16.65,20.38,220.5,,
AD 277,AD277,31.09,,14.86,130.33,201.6,,
AD 279,AD 279,31.09,36.1,0,55.2,9.2,,
AD 282,AD282,31.09,,57.1,154.2,112.5,43.13,167.7
AD 283,,31.09,,,,,,
AD 285,AD285,31.09,,25.49,68.63,193,,
AD 286,AD286,31.09,,18.2,127.38,19.3,,
AD 287,,31.09,,,,,,
AD 288,AD288,31.09,,72.28,107.04,332.8,,
AD 289,AD289,31.09,,23.13,111.75,266.2,,
AD 290,,31.09,,,,,,
AD 291,,31.09,,,,,,
AD 292,,31.09,,,,,,
AD 293,,31.09,,,,,,
AD 294,,31.09,,,,,,
AD 296,AD 296,31.09,130.3,13.6125,175.3,21.5,,
AD 297,AD297,31.09,,28.36,41.79,13.8,,
AD 299,AD299,31.09,,49.96,116.17,430.4,,
AD 300,,31.09,,,,,,
AD 301,AD 301,31.09,64.6,0,89,2.9,,
AD 302,AD302,31.09,,52.69,128.33,30,,
AD 303,AD303,31.09,,22.1,67.69,75.5,,
AD 304,,31.09,,,,,,
AD 307,AD307,31.09,,123.42,102.25,351.4,,
AD 309,AD 309,31.09,117.6,1.95,168.5,12.4,,
AD 312,AD312,31.09,,28.07,157.2,148.9,47.17,26.5
AD 317,AD 317,31.09,83.3,0,129,0,,
AD 325,AD 325,31.09,122.3,26.2875,175.6,105,,
AD 333,,31.09,,,,,,
AD 345,,31.09,,,,,,
AD 349,AD349,31.09,,235.43,103.08,156.6,,
AD 357,AD357,31.09,,42.18,82.5,138.2,,
AD 360,,31.09,,,,,,
AD 361,AD361,31.09,,29.38,118.92,104.5,,
AD 389,,31.09,,,,,,
AD 392,AD392,31.09,,48.55,121.42,542.4,,
AD 393,AD 393,31.09,123.5,4.05,169.7,21.5,,
AD 395,AD395,31.09,,121.25,157.33,196.4,,
AD 396,,31.09,,,,,,
AD 400,AD 400,31.09,102.9,9.925,145.9,27.7,,
AD 401,,31.09,,,,,,
AD 407,AD407,31.09,,35.57,125.08,349.6,,
AD 409,,31.09,,,,,,
AD 412,AD412,31.09,,223.27,192.8,64.7,67.5,93
AD 414,,31.09,,,,,,
AD 415,,31.09,,,11.25,,,
AD 416,,31.09,,,,,,
AD 418,,31.09,,,,,,
AD 423,,31.09,,,,,,
AD 427,AD427,31.09,,82.45,43.46,35.4,,
AD 428,AD 428,31.09,65.8,2.4125,107.8,109.4,,
AD 429,AD429,31.09,,36.91,145.2,46,91.46,160
AD 430,,31.09,,,,,,
AD 434,,31.09,,,19.75,,,
AD 436,,31.09,,,,,,
AD437,,31.09,,,,,,
AD 439,,31.09,,,,,,
AD 440,,31.09,,,,,,
AD 441,AD441,31.09,,71.93,78.79,94.8,,
AD 442,AD442,31.09,,197,50.88,9.2,,
AD 448,AD448,31.09,,0.29,25.5,142.6,,
AD 456,,31.09,,,,,,
AD 458,AD458,31.09,,10.1,73,331.4,,
AD 460,,31.09,,,,,,
AD 465,AD465,31.09,,202.48,40.27,137.8,,
AD 467,,31.09,,,,,,
AD 474,AD 474,31.09,42.3,0.033333333,54,8.6,,
AD 476,AD 476,31.09,103.8,22.675,132,91.4,,
AD 481,AD481,31.09,,76.07,111.83,262.2,,
AD 493,,31.09,,,,,,
AD 496,,31.09,,,,,,
AD 499,,31.09,,,,,,
AD 502,,31.09,,,,,,
AD 503,,31.09,,,,,,
AD 506,AD506,31.09,,51.28,110.5,465.6,,
AD 508,,31.09,,,,,,
AD 509,,31.09,,,,,,
AD 525,AD 525,31.09,65.6,0.016666667,111.8,2.4,,
AD 527,,31.09,,,,,,
AD 528,AD 528,31.09,59.8,13.93333333,80,14,,
AD 529,,31.09,,,,,,
AD 530,,31.09,,,,,,
AD 531,AD 531,31.09,65.5,6.9375,107,207.1,,
AD 533,,31.09,,,,,,
AD 534,AD534,31.09,,28.79,101.83,110.7,,
AD 536,,31.09,,,,,,
AD 555,AD555,31.09,,68.4,105,18.5,,
AD 557,,31.09,,,,,,
AD 558,AD558,31.09,,39.95,103.7,210.5,67.83,128.5
AD 559,AD559,31.09,,15.19,85.58,454.8,,
AD 562,AD562,31.09,,148.37,47,599.7,,
AD 564,AD564,31.09,,41.38,119,79.2,,
AD 565,AD 565,31.09,135.8,10.275,192.3,79.4,,
AD 570,AD 570,31.09,66.3,38.85,107.7,61.5,,
AD 573,,31.09,,,,,,
AD 575,,31.09,,,,,,
AD 578,,31.09,,,,,,
AD 581,,31.09,,,,,,
AD 582,,31.09,,,,,,
AD 587,AD 587,31.09,70.3,32.8,100,373.5,,
AD 590,,31.09,,,,,,
AD 594,AD 594,31.09,52.8,1.6,77.5,74.2,,
AD 596,,31.09,,,,,,
AD 600,,31.09,,,,,,
AD 602,,31.09,,,,,,
AD 605,AD605,31.09,,59.7,149.4,234,46.88,131.5
AD 607,AD607,31.09,,15.84,84.1,74.4,,
AD 611,,31.09,,,,,,
AD 617,,31.09,,,,,,
AD 619,,31.09,,,,,,
AD 624,AD 624,31.09,132.2,4.075,175.8,47.7,,
AD 626,,31.09,,,,,,
AD 631,AD 631,31.09,106.6,5.1375,163.7,97.7,,
AD 638,AD638,31.09,,90.68,132,297.9,,
AD 641,AD641,31.09,,59.57,48.5,39.6,,
AD 645,AD 645,31.09,62.2,15.1375,102.9,17.4,,
AD 653,AD653,31.09,,50.96,112.33,27.7,,
AD 654,AD654,31.09,,74.35,180.8,45.1,122.79,287.7
AD 655,,31.09,,,,,,
AD 656,,31.09,,,,,,
AD 671,,31.09,,,,,,
AD 677,AD 677,31.09,132.5,0.0375,181.5,12.3,,
AD 705,AD705,31.09,,63.1,97.81,366.3,,
AD 708,AD708,31.09,,24.94,74.88,109.9,,
AD 709,AD 709,31.09,73.6,32.6125,122.8,85.2,,
AD 714,AD714,31.09,,58.46,166,60.5,117.58,421.6
AD 717,AD717,31.09,,86.64,185.3,19.7,81.83,92.7
AD 726,AD 726,31.09,79.8,0,126.4,4,,
AD 745,,31.09,,,,,,
AD 749,AD 749,31.09,95.1,47.175,138,160.2,,
AD 751,AD751,31.09,,76.97,103,92.3,,
AD 757,AD757,31.09,,54.24,18.5,,,
AD 762,AD762,31.09,,48.34,76.92,160,,
AD 764,AD764,31.09,,43.71,129.92,574.3,,
AD 765,,31.09,,,,,,
AD 767,,31.09,,,,,,
AD 771,,31.09,,,,,,
AD 773,AD 773,31.09,117.8,61.1,152.2,55.7,,
AD 783,AD783,31.09,,62.9,150.8,21,84.75,35
AD784,AD784,31.09,,31.43,106.25,264.1,,
AD 785,AD785,31.09,,28.85,73.21,321.1,,
AD 786,AD 786,31.09,66,51.675,111.6,46.8,,
AD 789,AD789,31.09,,31.6,115.54,112.4,,
AD 791,,31.09,,,,,,
AD 802,,31.09,,,,,,
AD 821,AD821,31.09,,24.98,72.25,159.1,,
AD 871,AD 871,31.09,63.6,0.45,87,3,,
AD 569,AD569,31.09,,33,73.17,130.3,,
AW 1,,,,,,,,3.45
AW 2,,,,,,,,11.5
AW 3,,,,,,,,0.45
AW 4,,,,,,,,0
AW 5,,,,,,,,2.1
AW 6,,29.03,,,,,,1
AW 7,,,,,,,,7.15
AW 8,,,,,,,,14.7
AW 9,,29.11,,,,,,7.6
AW 10,,76.18,,,,,,3.15
AW 11,,29.11,,,,,,
AW 12,,,,,,,,44.6
AW 13,,2.22,,,,,,10.1
AW 14,,,,,,,,0
AW 15,V 16 equal AW15,31.07,163.1,11.1,,,,2.7
AW 16,,,,,,,,3.75
AW 17,,,,,,,,4.4
AW 18,,,,,,,,14.8
AW 19,,,,,,,,2.45
AW 20,,113.05,,,,,,0
AW 21,,,,,,,,0
AW 22,,,,,,,,0.4
AW 23,,29.02,,,,,,6.35
AW 24,,,,,,,,5.85
AW 25,,2.22,,,,,,1.7
AW 26,,,,,,,,10.5
AW 27,,,,,,,,0.75
AW 28,,,,,,,,0.15
AW 29,,,,,,,,14.5
AW 30,,,,,,,,43.7
AW 31,,,,,,,,0.05
AW 32,,,,,,,,54.5
AW 33,,,,,,,,11.1
AW 34,,,,,,,,0
AW 35,,,,,,,,4.3
AW 36,,,,,,,,3.6
CS 1,,11.03,,,,,,
CS 2,CS 2,11.03,69,,63.46,268.1,,
CS 7,CS 7,11.03,43.1,30.2,66.67,8.1,,
CS 8,CS 8,11.03,,,119.71,27.1,,
CS 11,,11.03,,,,,,
CS 15,,11.03,,,,,,
CS 16,CS 16,11.03,,,113.83,35.5,,
CS 17,CS 17,11.03,,,57.8,5.2,,
CS 18,CS 18,11.03,11,,,,,
CS 21,,11.03,,,,,,
CS 23,CS 23,11.03,24.1,23.2,,113,55.83,1.4
CS 26,CS 26,11.03,26,,,,,
CS 27,,11.03,,,,,,
CS 28,CS 28,11.03,,,104.75,59,,
CS 29,,11.03,,,,,,
CS 32,CS 32,11.03,,,33.25,63.5,,
CS 33,CS 33,11.03,35,7.1,,483.8,,
CS 34,CS 34,11.03,,,114.29,189.5,,
CS 35,,11.03,,,,,,
CS 36,CS 36,11.03,,,147.5,31.5,,
EA 1,EA1,31.09,,217.57,49.31,388.2,,
EA 2,EA2,31.09,,92.64,25.5,259.9,,
EA 4,,31.09,,,,,,
EA 21,EA21,31.09,,60.96,52.13,69.2,,
EA 12,,31.09,,,,,,
EA 16,EA16,31.09,,30.88,49.75,107.7,,
EA 19,EA19,31.09,,92.7,86.2,9.1,22.54,82.3
EA 24,,31.09,,,,,,
EA 32,EA32,31.09,,92.65,78.96,234.1,,
EA 43,EA43,31.09,,29.44,73.17,301.7,,138
EA 46,EA46,31.09,,10.84,47.58,80.5,,
EA 47,EA47,31.09,,26.28,47.98,108.5,,
EA 49,EA49,31.09,,35.16,88.33,80.1,,
EC 2,,11.03,,,,,,
EC 4,EC4,11.03,,34.38,65.5,147.2,,
EC 5,,11.03,,,,,,
EA 9,,11.03,,,,447.8,,
EC 10,,11.03,,,,,,
EC 12,,11.03,,,,,,
EC 18,EC18,11.03,,12.92,152,103.5,55.46,61.8
EC 20,,11.03,,,,,,
EC 30,,11.03,,,,,,
EC 33,,11.03,,,,,,
EC 35,,11.03,,,,167.8,,
EC 36,,11.03,,,,,,
EC 42,,11.03,,,,,,
EC 43,,11.03,,,,,,
EC 44,EC44,11.03,,92.6,16.13,30,,
EC 46,EC46,11.03,,125.33,82.19,161,,
EC 49,,11.03,,,,,,
EC 51,,11.03,,,,,,
EC 52,,11.03,,,,,,
EC 56,EC56,11.03,,91.33,106.33,319.8,,
GB 1037,GB1037,,,90.06,112.33,192.2,,
GB 1087,GB0187,,32.8,0.7,,,,
GB 1094,,,,,,,,
GB 1133,GB1133,,,15.78,83.08,23.4,,
GB 1230,GB 1230,,39.5,0.1,,36.2,,
GB 1327,,,,,,,,
GB 0047,GB47,,,4.1,128,18.3,,
GB 0104,,,,,,,,
GB 0110,,,,,,,,
GB 0173,,,,,,,,
GB 0187,,,,,,95.1,,
GB 0258,,,,,,,,
GB 0380,,,,,,,,
GB 0467,,,,,,32,,
GB 0531,,,,,,,,
GB 0651,GB651,,,20.08,82,62.4,,
GB 0666,GB0666,,,37.64,117.29,9,,
GB 0697,,,,,,,,
GB 0832,,,,,,,,
GB 0906,,,,,,,,
GB 1011,,,,,,,,
JCS 1,JCS 1,11.03,27,44.9,,,,
JCS 2,JCS 2,11.03,10,,,65.7,21.3,39
JCS 3,,11.03,,,,,,
JCS 6,,11.03,,,,,,
JCS 7,JCS 7,11.03,56.9,52.1,,,,
JCS 1,,11.03,,,,,,
JMOP 2,JMop2,29.11,88.8,33.7,147.1,15,104.63,62.9
JMS 2,,29.11,,,,,,
JMS 3,JMS 3,29.11,82.7,24.2,,,,
JMS 4,,29.11,,,,,,
JMS 5,JMS 5,29.11,57.8,21.6,,,,
JMS 6,,29.11,,,,,,
JMS 7,JMS 7,29.11,70.6,25.2,,,,
JMS 9,,29.11,,,,,,
JMS 10,,29.11,,,,,,
JMS 11,JMS 11,29.11,88.6,63.9,,,,
JMS 11A,,29.11,,,,,,
JMS 12,JMS 12,29.11,63.4,26.7,,,,
JMS 13,JMS 13,29.11,91.2,71.7,,,,
JMS 15,,29.11,,,,,,
JMS 16,,29.11,,,,,,
JMS 18,,29.11,,,,,,
JMS 19,JMS 19,29.11,84.7,65.5,146,15.6,,
JMS 20,,29.11,,,,,,
JMS 21,,29.11,,,,,,
JMS 23,,29.11,,,,,,
JMS 24,JMS 24,29.11,96.8,52.1,158.3,7.3,,
JMS 5A,JMS5A,29.11,59,40.7,,,,
K 2,K2,,,,153,14.7,,
K 3,K 3,31.05,64.2,25.6,74.8,305,,18.4
K 4,K4,,,,131.63,35.9,,
K 5,K 5,29.03,44.8,4.8,45,11,,
K 7,K 7,31.03,93,0.7,135.17,64.4,164.67,9.7
K 9,20142016,,,,100.92,21.9,,
K 10,,,,,,,,
K 11,K 11,,58.7,36.9,147.25,7.2,,
K 12,K12,,,,152.38,9.8,,
K 14,K14,52.02,,2.39,96.58,88,,
K 28,K28,,,20.95,95.38,30.4,,
K 29,K 29,,89.7,28.2875,115.4,112,,
K 32,K32,,,86.96,103.75,27.7,,
K 35,K35,,,12.66,120.17,70.4,,
MS1-1,,31.01,9,24.4,,,,
MS1-3,MS1 3,31.01,133.67,52.8,171.6,22.5,,
MS1-4,,31.01,,,,,,
MS1-7,MS1 7 ,31.01,107,43,133.75,60,,
MS1-8,MS1 8 ,31.01,86,59.4,112.81,55.6,,447.7
MS1-12,MS1 12,31.01,66,105.4,64.69,14,,
MS1-14,,31.01,,,,,,
MS1-15,,31.01,,,,,,
MS1-18,,31.01,,,,,,
MS1-19,MS1 19,31.01,124.67,121.4,132.56,55.2,,
MS1-21,MS1 21,31.01,104.33,193.7,136.44,47.6,,
MS1-24,,31.01,,,,,,
MS1-26,,31.01,,,,,,
MS1-27,MS1 27,31.01,128.67,91.7,138.25,48.2,,
MS1-28,MS1 28,31.01,122,36.2,88.42,485.7,139.19,62.7
MS1-29,,31.01,,,,,,
MS1-31,MS1 31,31.01,89,71.1,127.75,235.8,,
MS1-32,MS1 32,31.01,48,5.7,66,82.4,,
MS1-33,MS1 33,31.01,110.33,25.7,137.29,122.2,,
MS1-36,MS1 36,31.01,24.33,1.29,37.5,34.1,,
MS1-38,,31.01,,,,,,
MS1-39,MS1 39,31.01,30.5,0.5,,,,
MS1-41,MS1 41,31.01,117.5,247.8,139.56,63.9,,
MS1-43,MS1 43,31.01,67.5,0.5,65.5,75.7,,
MS1-44,MS1 44,31.01,118.33,22.1,139.25,60.1,,
MS1-45,,31.01,,,,,,
MS1-48,MS1 48,31.01,126.67,141,158.25,73.9,,
MS1-49,MS1 49,31.01,75.33,66.9,77.69,112.8,,
MS1-50,MS1 50,31.01,93.33,22.9,100.75,84.7,,
MS1-51,MS1 51,31.01,120,17.5,148.75,86.3,,
MS1-52,MS1 52,31.01,52,,,,,
MS1-53,,31.01,,,,,,
MS1-55,MS1 55,31.01,42,55.1,32.13,173.6,35.75,24.6
MS1-56,MS1 56,31.01,44.33,16.4,44.94,13,,
MS1-62,MS1 62,31.01,153.33,14.2,190,125.9,,
MS1-63,MS1 63,31.01,43.5,31.5,64,13.4,,
MS1-65,MS1 65,31.01,116.33,34.5,146.63,41.8,,
MS1-68,,31.01,,,,,,
MS1-69,,31.01,,,,,,
MS1-71,MS1 71,31.01,132.67,64.4,178.71,58.4,,
MS1-72,MS1 72,31.01,113.67,5.2,135.2,15.9,,
MS1-73,MS1 73,31.01,31.33,44.8,48.25,176.2,34.71,13
MS1-77,,31.01,,,,,,
MS1-84,MS1 84,31.01,39.67,3.8,30.25,31.7,,
MS1-85,MS1 85,,32.5,6.1,34,47.2,,
MS1-86,MS1 86,31.01,139.33,27.1,163.57,44.8,,
MS1-87,MS1 87,31.01,117.33,43.2,131.33,63.3,,
MS1-89,MS1 89,31.01,127.5,41,178.5,137.3,,
MS1-90,MS1 90,31.01,106.33,53.7,109.81,17.4,,
MS1-93,MS1 93,31.01,31.67,9.7,22.56,10.7,,
MS1-94,MS1 94,31.01,129.33,131.3,175.38,27.6,,
MS1-95,MS1 95,31.01,125.67,148.6,70.54,172,166.17,8.3
MS1-96,MS1 96,31.01,113.33,29.2,137.9,84.7,,
MS1-97,MS1 97,31.01,107.33,115.5,138.5,77.7,,
MS1-98,MS1 98,31.01,,,167,2.3,,
MS1-99,MS1 99,31.01,128.33,17.5,183.86,63.3,,
MS1-102,MS1 102,31.01,64,30.8,,,,
MS1-103,MS1 103,31.01,100.5,10.4,151.57,56.1,,
MS1-105,MS1 105,31.01,49,156.8,54,114.1,,
MS1-106,MS1 106,31.01,77.33,60.1,88.5,20.4,,1480
MS1-107,,31.01,,,,,,
MS1-113,MS1 113,31.01,31.67,4.5,42,45.7,,
MS1-114,MS1 114,31.01,,,78.3,3.6,,
MS1-117,MS1 117,31.01,157,65,208,73.2,,
MS1-119,MS1 119,31.01,56.33,5,52.2,15.4,,
MS1-120,MS1 120,31.01,26.8,0,,,,
MS1-122,MS1 122,31.01,149.33,3.7,173,68.9,100.56,26.7
MS1-125,MS1 125,31.01,161,55.6,192.13,32.6,,
MS1-126,,31.01,,,,,,
MS1-127,MS1 127,31.01,92.67,255,119.13,27.2,93.44,19.5
MS1-128,MS1 128,31.01,108,47.8,169.88,44.9,,
MS1-129,,31.01,,,,,,
MS1-130,MS1 130,31.01,138,27.2,187.5,68.5,,238.6
MS1-132,MS1 132,31.01,100.33,97.1,134.6,56,91.25,457.4
MS1-133,,31.01,,,,,,
MS1-138,MS1 138,31.01,67.4,0.8,120.38,53.3,,29.83
RX032,,29.11,,,,,,
S 1,S 1,,27.4,18.3,,,,
S 2,,,,,,,,
S 8,S 8,,30.2,205.6,,,,
S 10,S 10,,25.9,46,,,,
S 13,S 13,,28.4,52.1,,,,
S 15,S 15,,40.8,8.5,,,,
S 16,S 16,,31.1,41.7,,,,
S 21,S 21,,47.6,219.9,,,,
S 26,S 26,,24.6,258.3,62.75,1.2,,
S 32,S 32,,54.2,64.3,,,,
S 35,S 35,,54.9,412.4,,,,
S 38,S 38,,14.3,70,,,,
S 39,S 39,,59.8,22.5,,,,
S 40,S 40,,50.8,24,,,,
S 41,S 41,,36.8,4.82,,,,
S 42,S 42,,51.6,78.6,,,,
S 45,S 45,,50.5,1.3,,,,
S 49,S 49,,34.3,132.5,,,,
S 54,S 54,,51.3,75.6,,,,
S 55,S 55,,42,38.7,77.33,5.6,,
S 59,S 59,,64.3,9.47,,,,
S 61,S 61,,56.9,62.5,,,,
S 64,,,,,,,,
SBB7,,,,,,,,
SC1,,,,,,,,
SC5,SC 5,,15.8,,,,,
SM1,,,,,,,,
SM2,,,,,,,,
SM4,,,,,,,,
SM5,SM5,,28.5,10.8,,,,
STJM4,STJM 4,29.11,74.3,35.2,,,,
STJM6,STJM 6,29.11,90.1,60.1,143.1,8.9,,
STJM7,,29.11,,,,,,
STJM11,STJM 11,29.11,97.4,36.5,,,,
TB3,TB 3,31.09,79.8,45.6,,28.8,177.8,241.3
TB4,TB 4,31.09,87.7,10.4,,,,
TB5,TB 5,31.09,12.3,,,,,
TB6,,31.09,,,29,,,
TB7,TB 7,31.09,85.1,12.3,,,,
TB8,TB 8,31.09,87.7,31,,,,
TB10,,31.09,,,,,,
TB11,,31.09,,,,,,
TB12,TB 12,31.09,96.1,0.1,,,,
TB13,TB 13,31.09,89.4,4.5,,,,
TB16,TB 16,31.09,11.3,,,,,
TB18,TB 18,31.09,64.2,32.2,,,,
TB19,TB 19,31.09,,74.21,119.92,112.8,160.63,116.5
TB21,,31.09,,,109.88,301,,43.4
TB22,TB 22,31.09,85.5,14.5,,1021.2,,
TB23,,31.09,,,,,,
TB24,,31.09,,,,,,
TB26,TB 26,31.09,106.2,0.7,,,,
TB28,TB 28,31.09,80.8,0.2,,,,
TB31,,31.09,,,,,,
TB32,,31.09,,,,,,
TB33,TB 33,31.09,13.2,3.4,,,,
TB34,TB 34,31.09,94.7,3.6,,,,
TB35,TB 35,31.09,,78.96,68.31,65.9,124.29,92.1
TB36,TB 36,31.09,68.3,2.4,,551.3,,
TB37,TB 37,31.09,68.6,16.2,120.9,84.1,,
TB38,,31.09,,,,,,
TB39,TB 39,31.09,25.4,29.9,,,,
TB40,TB 40,31.09,86.5,35.4,,,,
TB42,,31.09,,,,,,
TB44,TB 44,31.09,90.3,2.6,,,,
TB45,TB 45,31.09,71.2,2.6,,,,
TB46,TB 46,31.09,40.2,0.8,,747.4,,
TB47,TB 47,31.09,25.1,0,,764.4,,
TB48,TB 48,31.09,63.3,32,,361.3,,
TB49,TB 49,31.09,82.5,0.1,100.83,33,,38.5
TB50,TB 50,31.09,91.4,4.3,,,,
TB51,,31.09,,,,,,
TB52,,31.09,,,50.5,80.1,,10.75
TB57,,31.09,,,,,,
TB58,,31.09,,,,,,
TB59,,31.09,,,,,,
TB60,,31.09,,,,,,
TB61,TB 61,31.09,94.6,1.4,,,,
TB62,TB 62,31.09,73.3,0.5,,,,
TB63,TB 63,31.09,6,,,,,
TB65,TB 65,31.09,65.7,155.5,,,,
TB66,TB 66,31.09,87.6,19.7,,,,
TB67,TB 67,31.09,81.5,9,72.3,55.1,,
TB68,TB 68,31.09,66,5.5,,,,
TB69,TB 69,31.09,41.5,0,,266.3,110.75,201.8
TB70,TB 70,31.09,25.7,,,,,
TB71,TB 71,31.09,6.3,3.3,,,,
TB73,TB 73,31.09,59.3,1.6,,,,
TB75,,31.09,,,,,,
TB76,TB 76,31.09,35.9,1,,,,
TB78,TB 78,31.09,68.3,2,,,,
TB79,TB 79,31.09,9,,,,,
TB80,,31.09,,,,,,
TB82,,31.09,,,,,,
TB83,TB 83,31.09,52.3,60.7,,,,
TB86,TB 86,31.09,94.7,1.1,,,,
TB87,TB 87,31.09,87.3,0.9,,195.8,,
TB88,TB 88,31.09,26,10.5,,,,
TB90,TB 90,31.09,35.5,17.2,123.38,333.7,,137.88
TB91,TB 91,31.09,71.4,1.1,,,,
TB92,TB 92,31.09,64.7,7.8,,249.1,,
TB94,,31.09,,,,,,
TB95,TB 95,31.09,71.9,4.9,,,,
TB96,TB 96,31.09,7.3,,,,,
TB97,TB 97,31.09,55.6,5.1,,,,
TB99,TB 99,53.02,60.1,1,,,,
TB100,TB 100,31.09,59.6,5.6,,,,
TB101,,31.09,,,,,,
TB102,TB 102,31.09,40.3,6.5,,,,
TB104,,31.09,,,,,,
TB105,TB 105,31.09,19.7,32.8,,,,
TB108,TB108,31.09,,141.43,60.81,26.9,,
TB109,TB 109,31.09,84.2,52.1,,112.1,,
TB111,TB 11,31.09,85.7,5.5,,,,
TB112,,31.09,,,,,,
TB115,,31.09,,,,,,
TB120,TB120,31.09,,21.85,40.38,5.3,,
TG9 ,TG 9,53.02,91.4,1.6,,773.3,,
TG11,TG 11,53.02,100.1,2.4,,,,
TG17,TG 17,53.02,97.6,0,,,,
TG24,TG 24,53.02,81.3,109.7,,857.9,,
TG29,TG 29,53.02,80.8,4.4,,193.3,,
TG37,TG 37,53.02,46.3,0.9,,,,
TG47,TG 47,53.02,89.6,8.2,,,,
TP1,TP 1,68.18,83.5,71.5,,,,
TP3,TP 3,68.18,46.3,0.1,,,,
TP4,,68.18,,,,169.7,,
TP7,TP 7,68.18,58.1,5.6,,,,
TQ11,,52.02,,,,,,
J1-1A,,,,,,,,
J1-19A,,,,,,,,
J1-20A,,,,,,,,
J1 control,,,,,,,,
L-33,,,,,,,,
L-194,,,,,,,,
L-J,,,,,,,,
RR4-1A,,,,,,,,
RR4-2B,,,,,,,,
RR4-4A,,,,,,,,
RR4-6C,,,,,,,,
RR4-8A,,,,,,,,
RR4-10A,,,,,,,,
RR4-11A,,,,,,,,
RR4-12A,,,,,,,,
RR4-control,,,,,,,,
RR4 DS Red 17-1-3,,,,,,,,
RR4 DS Red 17-4-3,,,,,,,,
RR4 DS Red 30-2-2,,,,,,,,
RR4 DS Red 67-2-2,,,,,,,,
RR4 DS Red 67-2-3,,,,,,,,
BS 1,,,,,,,,
BS 4,,,,,,,,
BS 6,,,,,,,,
BS 8,,,,,,,,
BS 9,,,,,,,,
OP 9,,,,,,,,
OP 65,,,,,,,,
OP 67,,,,,,,,
EA 51,,,,,,,,
,,,,,,,,
,,,,,,,,
