CAL_Wip_ID,genotype,Female_Parent,CG_Avg,PHY_Avg,3Y_length,3Y_RLN
AC 507,AC507,31.01,3.5,53.75,125.25,289.3
AC 508,AC 508,31.01,3.4,9.5,142,96.3
AC 515,AC515,31.01,3.4,45.3,59,143.9
AC 552,AC552,31.01,1.7,38.7,57.25,19.1
AC 564,AC564,31.01,2.8,46.8,110.88,424.5
AC 568,AC568,31.01,1,24.925,28.38,154.8
AC 570,AC570,31.01,2.4,69.4,120.67,239.4
AC 580,AC580,31.01,2.4,58.25,119.54,519.6
AC 583,AC583,31.01,3.4,68.1,121.71,538.9
AC 585,AC 585,31.01,3.3,32.55,175,0.1
AD 19,AD19,31.09,1.98666666666667,59.5,103.5,158.4
AD 24,AD24,31.09,2.8,9.13333333333333,49.69,294
AD 28,AD28,31.09,2.1,31.7,88.63,268.9
AD 30,AD30,31.09,1.7,22.25,38.25,20.5
AD 37,AD37,31.09,1.2,12.65,87.75,121.4
AD 40,AD40,31.09,1.55,13,137,84.2
AD 51,AD51,31.09,2.2,27.65,97.21,462.7
AD 55,AD55,31.09,2.15,25.2,105.79,316.1
AD 71,AD71,31.09,3.2,54.85,80.44,112.5
AD 80,AD80,31.09,1.8,35.9,109.33,310.3
AD 87,AD87,31.09,2.2,30.6,92.75,46.6
AD 90 ,AD90,31.09,2.3,45.95,82.75,58.7
AD 91,AD91,31.09,1.54666666666667,16.4,47.25,46.7
AD 95,AD95,31.09,1.8,37.15,85.42,47.7
AD 96,AD96,31.09,4,51.3,129.67,826.6
AD 111,AD 111,31.09,1.6,35.7,169.2,80.1
AD 114,AD114,31.09,2.3,35.9,119.92,354.1
AD 116,AD116,31.09,2.6,27.65,97.88,172.2
AD 123,AD123,31.09,1.15,9.7,74.5,16
AD 125,AD125,31.09,3.2,29.175,83.92,484.9
AD 136,AD136,31.09,2.9,20.2666666666667,111.67,279.9
AD 138,AD138,31.09,1.7,15.6,172.8,197.7
AD 162,AD162,31.09,1.4,27.9,92.04,185.8
AD 163,AD163,31.09,2,20.4,121.17,6.3
AD 167,AD167,31.09,3.1,57.05,125.25,348.2
AD 172,AD 172,31.09,2.5,50.95,149,13.7
AD 184,AD184,31.09,1.3,20.2,123.88,164.9
AD 185,AD185,31.09,2.02333333333333,44.2,96.83,525
AD 187,AD 187,31.09,2.5,29.4,187.4,128.5
AD 192,AD192,31.09,4,17,105.67,221.9
AD 193,AD193,31.09,2.3,31.6666666666667,75.08,141.9
AD 196,AD 196,31.09,1.7,10.95,133.8,70.3
AD 198,AD198,31.09,2.4,15.9,20.25,177.6
AD 217,AD217,31.09,2,66.4,90.21,25.6
AD 233,AD233,31.09,2.9,15.95,72.75,404.3
AD 246,AD246,31.09,2.3,28.75,115.29,203.7
AD 247,AD247,31.09,2.5,42.3,121,180
AD 251,AD251,31.09,1.9,75.1,107.33,310.2
AD 253,AD253,31.09,1,34.95,64.42,184.2
AD 255,AD255,31.09,2.9,62.6,116.42,328.3
AD 258,AD258,31.09,1.2,6.2,39.38,24.5
AD 259,AD259,31.09,1.8,15.3,109.17,171.9
AD 264,AD264,31.09,2.9,42.5,95.5,244.8
AD 265,AD265,31.09,1.9,7.9,103.25,208.8
AD 273,AD273,31.09,1.7,51.4,132.54,313.8
AD 276,AD276,31.09,1.4,18.8,20.38,220.5
AD 282,AD282,31.09,1,9.26666666666667,154.2,112.5
AD 285,AD285,31.09,2.3,9,68.63,193
AD 288,AD288,31.09,2.3,40,107.04,332.8
AD 289,AD289,31.09,2.95,46.7,111.75,266.2
AD 296,AD 296,31.09,2.33,34.5,175.3,21.5
AD 297,AD297,31.09,2.2,6.5,41.79,13.8
AD 299,AD299,31.09,1.825,38.3,116.17,430.4
AD 303,AD303,31.09,3.1,45.85,67.69,75.5
AD 307,AD307,31.09,2.6,11.7,102.25,351.4
AD 312,AD312,31.09,3.6,15.5,157.2,148.9
AD 317,AD 317,31.09,1,10.05,129,0
AD 349,AD349,31.09,2.9,6.65,103.08,156.6
AD 361,AD361,31.09,2,19.2,118.92,104.5
AD 392,AD392,31.09,2.3,8.3,121.42,542.4
AD 395,AD395,31.09,2.1,65.25,157.33,196.4
AD 400,AD 400,31.09,2.6,33.65,145.9,27.7
AD 407,AD407,31.09,2.7,15.7,125.08,349.6
AD 412,AD412,31.09,2.5,51.85,192.8,64.7
AD 427,AD427,31.09,1.7,11.75,43.46,35.4
AD 429,AD429,31.09,2.2,32,145.2,46
AD 442,AD442,31.09,1.9,48.4,50.88,9.2
AD 458,AD458,31.09,2.6,15.95,73,331.4
AD 474,AD 474,31.09,1.1,40.85,54,8.6
AD 476,AD 476,31.09,1.1,9.5,132,91.4
AD 506,AD506,31.09,2.4,30.05,110.5,465.6
AD 525,AD 525,31.09,1.1,5.75,111.8,2.4
AD 534,AD534,31.09,2.6,34.9,101.83,110.7
AD 558,AD558,31.09,1.1,16.4,103.7,210.5
AD 559,AD559,31.09,1.9,56.35,85.58,454.8
AD 562,AD562,31.09,2.1,8.5,47,599.7
AD 564,AD564,31.09,2.7,65.3,119,79.2
AD 624,AD 624,31.09,2.25,15.3,175.8,47.7
AD 631,AD 631,31.09,2.4,23.35,163.7,97.7
AD 638,AD638,31.09,2.4,71.05,132,297.9
AD 641,AD641,31.09,2,26.45,48.5,39.6
AD 653,AD653,31.09,1.6,24,112.33,27.7
AD 654,AD654,31.09,2.4,23.5,180.8,45.1
AD 705,AD705,31.09,3.3,10.95,97.81,366.3
AD 708,AD708,31.09,2.6,46.5,74.88,109.9
AD 709,AD 709,31.09,2.3,60.65,122.8,85.2
AD 714,AD714,31.09,2.6,66.45,166,60.5
AD 717,AD717,31.09,3.35,22.6,185.3,19.7
